nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
CASSAVA SCIENCES INC,COM,14817C107,2528,615000,SH,DFND,"1,2",615000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,SAVA
CELLECTAR BIOSCIENCES INC,COM PAR,15117F500,111,87500,SH,DFND,"1,2",87500,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,CLRB
CONCERT PHARMACEUTICALS INC,COM,206022105,8955,1013039,SH,DFND,"1,2",1013039,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,CNCE
CYCLERION THERAPEUTICS INC,COM,23255M105,331,124976,SH,DFND,"1,2",124976,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,CYCN
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,4920,119500,SH,DFND,"1,2",119500,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,DCPH
EVOLUS INC,COM,30052C107,2283,550000,SH,DFND,"1,2",550000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,EOLS
EXICURE INC,COM,30205M101,4861,3284795,SH,DFND,"1,2",3284795,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
FIVERR INTL LTD,ORD SHS,M4R82T106,2639,104839,SH,DFND,,104839,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
GALERA THERAPEUTICS INC,COM,36338D108,4519,475677,SH,DFND,"1,2",475677,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,GRTX
GLOBAL BLOOD THERAPEUTICS IN,COM,37890U108,1265,24752,SH,DFND,"1,2",24752,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,GBT
IMMUNOVANT INC,COM,45258J102,296,19032,SH,DFND,"1,2",19032,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
IMMUNOVANT INC,UNIT 12/18/2024,45258J201,1564,94500,SH,DFND,"1,2",94500,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
ISHARES TR,PUT,464287655,103014,900000,SH,DFND,"1,2",0,0,900000,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,Put,
IVERIC BIO INC,COM,46583P102,425,123424,SH,DFND,"1,2",123424,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ISEE
JOHNSON  JOHNSON,COM,478160104,45719,348653,SH,DFND,"1,2",348653,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,JNJ
KALVISTA PHARMACEUTICALS INC,COM,483497103,1837,240140,SH,DFND,"1,2",240140,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,KALV
KARYOPHARM THERAPEUTICS INC,COM,48576U106,10566,550000,SH,DFND,"1,2",550000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,KPTI
LEAP THERAPEUTICS INC,COM,52187K101,948,600000,SH,DFND,"1,2",600000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,LPTX
MERCK  CO. INC,COM,58933Y105,66824,868518,SH,DFND,"1,2",868518,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,MRK
MICROSOFT CORP,COM,594918104,14819,93964,SH,DFND,,93964,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
MILESTONE PHARMACEUTICALS IN,COM,59935V107,125,67992,SH,DFND,"1,2",67992,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,MIST
MINERVA NEUROSCIENCES INC,COM,603380106,1014,168357,SH,DFND,"1,2",168357,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,NERV
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,4518,397000,SH,DFND,"1,2",397000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,NLTX
NEOS THERAPEUTICS INC,COM,64052L106,1882,2509468,SH,DFND,"1,2",2509468,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,NEOS
NICE SYS INC,NOTE 1.250% 1/1,65366HAB9,445,250000,SH,DFND,,250000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
NOVARTIS A G,SPONSORED ADR,66987V109,11543,140000,SH,DFND,"1,2",140000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,NVS
NOVO-NORDISK A S,ADR,670100205,34675,576000,SH,DFND,"1,2",576000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
ORGENESIS INC,COM NEW,68619K204,4216,1109564,SH,DFND,"1,2",1109564,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ORGS
OUTLOOK THERAPEUTICS INC,*W EXP 02/18/202,69012T115,130,129500,SH,DFND,"1,2",0,0,129500,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
PALO ALTO NETWORKS INC,COM,697435105,2697,16452,SH,DFND,,16452,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
PASSAGE BIO INC,COM,702712100,7135,478171,SH,DFND,"1,2",478171,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,PASG
PFIZER INC,COM,717081103,17952,550000,SH,DFND,"1,2",550000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,PFE
PRECISION BIOSCIENCES INC,COM,74019P108,889,147352,SH,DFND,"1,2",147352,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,DTIL
PROQR THRAPEUTICS N V,SHS EURO,N71542109,1900,346148,SH,DFND,"1,2",346148,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,PRQR
PROTAGONIST THERAPEUTICS INC,COM,74366E102,3714,526075,SH,DFND,"1,2",526075,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,PTGX
PROTEOSTASIS THERAPEUTICS IN,COM,74373B109,2892,2536600,SH,DFND,"1,2",2536600,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,PTI
ROCKET PHARMACEUTICALS INC,COM,77313F106,4673,335016,SH,DFND,"1,2",335016,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,RCKT
SALESFORCE COM INC,COM,79466L302,5115,35529,SH,DFND,,35529,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
SANOFI,SPONSORED ADR,80105N105,42408,970000,SH,DFND,"1,2",970000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,SNY
SAREPTA THERAPEUTICS INC,COM,803607100,25238,258000,SH,DFND,"1,2",258000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,SRPT
SELECT SECTOR SPDR TR,SBI CONS STPLS,81369Y308,7909,145207,SH,DFND,,145207,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
SPDR SP 500 ETF TR,PUT,78462F103,54102,209900,SH,DFND,,0,0,209900,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,Put,
SPDR SER TR,PUT,78464A870,38720,500000,SH,DFND,"1,2",0,0,500000,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,Put,
STOKE THERAPEUTICS INC,COM,86150R107,624,27254,SH,DFND,"1,2",27254,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,STOK
SUNESIS PHARMACEUTICALS INC,COM,867328700,299,721800,SH,DFND,"1,2",721800,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
SYNDAX PHARMACEUTICALS INC,COM,87164F105,747,68134,SH,DFND,"1,2",68134,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,SNDX
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,3203,356713,SH,DFND,,356713,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,TEVA
TRILLIUM THERAPEUTICS INC,COM NEW,89620X506,5093,1260694,SH,DFND,"1,2",1260694,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,TRIL
UNIQURE NV,SHS,N90064101,9543,201107,SH,DFND,"1,2",201107,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,QURE
VERTEX PHARMACEUTICALS INC,COM,92532F100,1666,7000,SH,DFND,"1,2",7000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,VRTX
VIKING THERAPEUTICS INC,COM,92686J106,2761,590000,SH,DFND,"1,2",590000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,VKTX
X4 PHARMACEUTICALS INC,COM,98420X103,8732,873215,SH,DFND,"1,2",873215,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,XFOR
Y-MABS THERAPEUTICS INC,COM,984241109,8023,307379,SH,DFND,"1,2",307379,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,YMAB
ZAFGEN INC,COM,98885E103,2434,3161562,SH,DFND,"1,2",3161562,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
ZYMEWORKS INC,COM,98985W102,7336,206830,SH,DFND,"1,2",206830,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ZYME
ZYNERBA PHARMACEUTICALS INC,COM,98986X109,383,100000,SH,DFND,"1,2",100000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ZYNE
