nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,putcall,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ENCOMPASS HEALTH CORP,COM,29261A100,2037,32900,SH,,SOLE,32900,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,EHC
ESTABLISHMENT LABS HLDGS INC,COM,G31249108,2376,127173,SH,,SOLE,127173,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ESTA
EVOFEM BIOSCIENCES INC,COM,30048L104,1168,412788,SH,,SOLE,412788,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,EVFM
EVOLUS INC,COM,30052C107,1492,281541,SH,,SOLE,281541,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,EOLS
EVOLUS INC,CALL,30052C907,198,37400,SH,Call,SOLE,37400,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
IMMUNOVANT INC,COM,45258J102,2325,95500,SH,,SOLE,95500,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,5902,215000,SH,,SOLE,215000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,IOVA
ISHARES TR,PUT,464287955,27920,195000,SH,Put,SOLE,195000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
KURA ONCOLOGY INC,COM,50127T109,11166,685000,SH,,SOLE,685000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,KURA
LHC GROUP INC,COM,50187A107,786,4509,SH,,SOLE,4509,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,LHCG
MAGELLAN HEALTH INC,COM NEW,559079207,379,5200,SH,,SOLE,5200,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,MGLN
MAGENTA THERAPEUTICS INC,COM,55910K108,1266,168578,SH,,SOLE,168578,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,MGTA
MEIRAGTX HLDGS PLC,COM,G59665102,6510,519967,SH,,SOLE,519967,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,MGTX
NEOGENOMICS INC,COM NEW,64049M209,1203,38819,SH,,SOLE,38819,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,NEO
ORGANOGENESIS HLDGS INC,COM,68621F102,2057,535616,SH,,SOLE,535616,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
PACIRA BIOSCIENCES,COM,695127100,2886,55000,SH,,SOLE,55000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,PCRX
PERSONALIS INC,COM,71535D106,2448,188750,SH,,SOLE,188750,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,PSNL
PROVIDENCE SVC CORP,COM,743815102,1178,14923,SH,,SOLE,14923,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
REATA PHARMACEUTICALS INC,CL A,75615P103,12809,82100,SH,,SOLE,82100,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,RETA
STEALTH BIOTHERAPEUTICS CORP,SPONSORED ADS,85789A105,533,291144,SH,,SOLE,291144,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,MITO
TRANSLATE BIO INC,COM,89374L104,1604,89510,SH,,SOLE,89510,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,TBIO
TURNING POINT THERAPEUTICS I,COM,90041T108,1654,25602,SH,,SOLE,25602,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,TPTX
UNIQURE NV,SHS,N90064101,6449,143129,SH,,SOLE,143129,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,QURE
UNITED THERAPEUTICS CORP DEL,COM,91307C102,1815,15000,SH,,SOLE,15000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,UTHR
VERICEL CORP,COM,92346J108,2901,209897,SH,,SOLE,209897,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,VCEL
XERIS PHARMACEUTICALS INC,COM,98422L107,1116,419469,SH,,SOLE,419469,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,XERS
ZIMMER BIOMET HOLDINGS INC,COM,98956P102,8176,68500,SH,,SOLE,68500,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ZBH
ZOGENIX INC,COM NEW,98978L204,3953,146346,SH,,SOLE,146346,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ZGNX
ZOGENIX INC,PUT,98978L954,221,8200,SH,Put,SOLE,8200,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
