nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
CHEMOCENTRYX INC,COM,16383L106,25113,625000,SH,DFND,1,625000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,Call,CCXI
CONSTELLATION PHARMACEUTICALS I,COM,210373106,64118,2040021,SH,DFND,1,2040021,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,CNST
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,26735,630400,SH,DFND,1,630400,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,CRSP
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,14410,350000,SH,DFND,1,350000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,DCPH
EIDOS THERAPEUTICS INC,COM,28249H104,53889,1100000,SH,DFND,1,1100000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,EIDX
EIGER BIOPHARMACEUTICALS INC,COM,28249U105,5543,815127,SH,DFND,1,815127,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,EIGR
FATE THERAPEUTICS INC,COM,31189P102,1666,75000,SH,DFND,1,75000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,FATE
GALAPAGOS NV,SPON ADR,36315X101,19681,98603,SH,DFND,1,98603,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,GLPG
GOSSAMER BIO INC,COM,38341P102,2014,198382,SH,DFND,1,198382,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,GOSS
HARPOON THERAPEUTICS INC,COM,41358P106,7527,649993,SH,DFND,1,649993,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,HARP
HOMOLOGY MEDICINES INC,COM,438083107,9324,600000,SH,DFND,1,600000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,FIXX
IGM BIOSCIENCES INC,COM,449585108,23926,426104,SH,DFND,1,426104,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,IGMS
IMMUNOVANT INC,UNIT 12/18/2024,45258J201,19396,1078380,SH,DFND,1,1078380,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,
INSMED INC,COM PAR $.01,457669307,5807,362273,SH,DFND,1,362273,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,INSM
INSPIRE MED SYS INC,COM,457730109,9042,150000,SH,DFND,1,150000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,INSP
KURA ONCOLOGY INC,COM,50127T109,7960,800000,SH,DFND,1,800000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,KURA
MERUS N V,COM,N5749R100,7260,600000,SH,DFND,1,600000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,MRUS
MINERVA NEUROSCIENCES INC,COM,603380106,3660,607903,SH,DFND,1,607903,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,NERV
MIRATI THERAPEUTICS INC,COM,60468T105,65340,850000,SH,DFND,1,850000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,MRTX
MIRATI THERAPEUTICS INC,COM,60468T105,38435,500000,SH,DFND,1,500000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,Call,MRTX
MYOKARDIA INC,COM,62857M105,32816,700000,SH,DFND,1,700000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,MYOK
MYOVANT SCIENCES LTD,COM,G637AM102,19630,2600000,SH,DFND,1,2600000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,MYOV
NEKTAR THERAPEUTICS,COM,640268108,2678,150000,SH,DFND,1,150000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,NKTR
NEUROCRINE BIOSCIENCES INC,COM,64125C109,2164,25000,SH,DFND,1,25000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,NBIX
NEXTCURE INC,COM,65343E108,27558,743400,SH,DFND,1,743400,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,NXTC
OMEROS CORP,COM,682143102,33742,2523700,SH,DFND,1,2523700,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,OMER
ORCHARD THERAPEUTICS PLC,ADS,68570P101,1933,256649,SH,DFND,1,256649,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ORTX
OUTLOOK THERAPEUTICS INC,*W EXP 02/18/202,69012T115,65,416666,SH,DFND,1,416666,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,
PRECISION BIOSCIENCES INC,COM,74019P108,2090,346524,SH,DFND,1,346524,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,DTIL
PRINCIPIA BIOPHARMA INC,COM,74257L108,124698,2100000,SH,DFND,1,2100000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,
QUOTIENT LTD,SHS,G73268107,12488,3161500,SH,DFND,1,3161500,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,QTNT
REATA PHARMACEUTICALS INC,CL A,75615P103,70323,487206,SH,DFND,1,487206,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,RETA
REATA PHARMACEUTICALS INC,CL A,75615P103,36085,250000,SH,DFND,1,250000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,Call,RETA
REVOLUTION MEDICINES INC,COM,76155X100,60627,2767078,SH,DFND,1,2767078,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,RVMD
ROCKET PHARMACEUTICALS INC,COM,77313F106,21881,1568550,SH,DFND,1,1568550,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,RCKT
SAREPTA THERAPEUTICS INC,COM,803607100,14673,150000,SH,DFND,1,150000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,SRPT
SATSUMA PHARMACEUTICALS INC,COM,80405P107,17396,808382,SH,DFND,1,808382,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,STSA
SORRENTO THERAPEUTICS INC,COM NEW,83587F202,9200,5000000,SH,DFND,1,5000000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,SRNE
SPDR SP 500 ETF TR,TR UNIT,78462F103,257750,1000000,SH,DFND,1,1000000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,Put,
STOKE THERAPEUTICS INC,COM,86150R107,39154,1709765,SH,DFND,1,1709765,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,STOK
THERAVANCE BIOPHARMA INC,COM,G8807B106,2311,100000,SH,DFND,1,100000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,TBPH
TRICIDA INC,COM,89610F101,19315,877975,SH,DFND,1,877975,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,TCDA
TURNING POINT THERAPEUTICS I,COM,90041T108,136517,3056797,SH,DFND,1,3056797,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,TPTX
TWIST BIOSCIENCE CORP,COM,90184D100,21013,687149,SH,DFND,1,687149,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,TWST
UNIQURE NV,SHS,N90064101,11863,250000,SH,DFND,1,250000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,QURE
VIELA BIO INC,COM,926613100,66975,1762500,SH,DFND,1,1762500,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,VIE
X4 PHARMACEUTICALS INC,COM,98420X103,3416,341618,SH,DFND,1,341618,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,XFOR
Y-MABS THERAPEUTICS INC,COM,984241109,45210,1732200,SH,DFND,1,1732200,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,YMAB
ZAI LAB LTD,ADR,98887Q104,14882,289092,SH,DFND,1,289092,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ZLAB
ZYMEWORKS INC,COM,98985W102,24829,700000,SH,DFND,1,700000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ZYME
