nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
CATALYST PHARMACEUTICALS INC,COM,14888U101,3375,730557,SH,DFND,"1,2",730557,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,CPRX
CELLECTAR BIOSCIENCES INC,COM PAR,15117F500,112,87500,SH,DFND,"1,2",87500,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,CLRB
COMPUGEN LTD,ORD,M25722105,3004,200000,SH,DFND,"1,2",200000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,CGEN
CONCERT PHARMACEUTICALS INC,COM,206022105,6972,700710,SH,DFND,"1,2",700710,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,CNCE
CORBUS PHARMACEUTICALS HLDGS,CALL,21833P103,2001,238500,SH,DFND,"1,2",0,0,238500,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Call,CRBP
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,16899,282965,SH,DFND,"1,2",282965,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,DCPH
DOMINOS PIZZA INC,COM,25754A201,5365,14521,SH,DFND,,14521,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
DOVER CORP,COM,260003108,5560,57576,SH,DFND,,57576,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
ENPHASE ENERGY INC,COM,29355A107,3330,70000,SH,DFND,,70000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
EXICURE INC,COM,30205M101,4636,1900000,SH,DFND,"1,2",1900000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
FATE THERAPEUTICS INC,COM,31189P102,7720,225000,SH,DFND,"1,2",225000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,FATE
FISERV INC,COM,337738108,9298,95246,SH,DFND,,95246,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
FIVERR INTL LTD,ORD SHS,M4R82T106,12328,167002,SH,DFND,,167002,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
GALERA THERAPEUTICS INC,COM,36338D108,3350,469245,SH,DFND,"1,2",469245,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,GRTX
HOMOLOGY MEDICINES INC,COM,438083107,10009,658919,SH,DFND,"1,2",658919,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,FIXX
IMMUNIC INC,COM,4525EP101,1212,100000,SH,DFND,"1,2",100000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,IMUX
IMMUNOVANT INC,COM,45258J102,2557,105000,SH,DFND,"1,2",105000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
INTRA CELLULAR THERAPIES INC,CALL,46116X101,5871,228700,SH,DFND,"1,2",0,0,228700,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Call,
INVESCO QQQ TR,PUT,46090E103,38997,157500,SH,DFND,,157500,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Put,
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,9553,348000,SH,DFND,"1,2",348000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,IOVA
IVERIC BIO INC,COM,46583P102,1020,200000,SH,DFND,"1,2",200000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ISEE
JOHNSON  JOHNSON,COM,478160104,42189,300000,SH,DFND,"1,2",300000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,JNJ
KALVISTA PHARMACEUTICALS INC,COM,483497103,2906,240140,SH,DFND,"1,2",240140,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,KALV
KARYOPHARM THERAPEUTICS INC,COM,48576U106,7440,392831,SH,DFND,"1,2",392831,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,KPTI
KORNIT DIGITAL LTD,SHS,M6372Q113,9422,176507,SH,DFND,,176507,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
KRYSTAL BIOTECH INC,COM,501147102,5988,144573,SH,DFND,"1,2",144573,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,KRYS
KURA ONCOLOGY INC,COM,50127T109,8712,534494,SH,DFND,"1,2",534494,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,KURA
LARIMAR THERAPEUTICS INC,COM,517125100,5099,396787,SH,DFND,"1,2",396787,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,LRMR
LEAP THERAPEUTICS INC,COM,52187K101,1839,880000,SH,DFND,"1,2",880000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,LPTX
LILLY ELI  CO,COM,532457108,14776,90000,SH,DFND,"1,2",90000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
MEI PHARMA INC,COM NEW,55279B202,1693,410000,SH,DFND,"1,2",410000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,MEIP
MERCK  CO. INC,COM,58933Y105,60612,783808,SH,DFND,"1,2",783808,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,MRK
MICROSOFT CORP,COM,594918104,16680,81964,SH,DFND,,81964,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
MIRATI THERAPEUTICS INC,COM,60468T105,8220,72000,SH,DFND,"1,2",72000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,MRTX
MYOKARDIA INC,COM,62857M105,9662,100000,SH,DFND,"1,2",100000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,MYOK
NEOS THERAPEUTICS INC,COM,64052L106,651,950311,SH,DFND,"1,2",950311,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,NEOS
NEUBASE THERAPEUTICS INC,COM,64132K102,1317,150000,SH,DFND,"1,2",150000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,NBSE
NICE LTD,SPONSORED ADR,653656108,24489,129406,SH,DFND,,129406,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
NICE SYS INC,NOTE 1.250% 1/1,65366HAB9,573,250000,SH,DFND,,250000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
NOVARTIS AG,SPONSORED ADR,66987V109,15721,180000,SH,DFND,"1,2",180000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,NVS
NOVO-NORDISK A S,ADR,670100205,26192,400000,SH,DFND,"1,2",400000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
ORGENESIS INC,COM NEW,68619K204,4048,665767,SH,DFND,"1,2",665767,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ORGS
OUTLOOK THERAPEUTICS INC,*W EXP 02/18/202,69012T115,33,129500,SH,DFND,"1,2",0,0,129500,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
PALO ALTO NETWORKS INC,COM,697435105,6890,30000,SH,DFND,,30000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
PASSAGE BIO INC,COM,702712100,9414,344439,SH,DFND,"1,2",344439,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,PASG
PERRIGO CO PLC,SHS,G97822103,2764,50000,SH,DFND,,50000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,PRGO
PFIZER INC,PUT,717081103,32700,1000000,SH,DFND,"1,2",1000000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Put,PFE
REATA PHARMACEUTICALS INC,CL A,75615P103,12801,82049,SH,DFND,"1,2",82049,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,RETA
REPARE THERAPEUTICS INC,COM,760273102,7600,245000,SH,DFND,"1,2",245000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,RPTX
RETROPHIN INC,COM,761299106,5103,250000,SH,DFND,"1,2",250000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,RTRX
ROCKET PHARMACEUTICALS INC,COM,77313F106,7117,340016,SH,DFND,"1,2",340016,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,RCKT
SANOFI,SPONSORED ADR,80105N105,57176,1120000,SH,DFND,"1,2",1120000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,SNY
SAREPTA THERAPEUTICS INC,COM,803607100,19754,123200,SH,DFND,"1,2",123200,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,SRPT
SOLAREDGE TECHNOLOGIES INC,COM,83417M104,6386,46017,SH,DFND,,46017,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
SOLENO THERAPEUTICS INC,COM NEW,834203200,2739,1233676,SH,DFND,"1,2",1233676,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,SLNO
SPDR SP 500 ETF TR,PUT,78462F103,58280,189000,SH,DFND,,189000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Put,
SPDR SER TR,PUT,78464A870,83962,750000,SH,DFND,"1,2",750000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Put,
SYNDAX PHARMACEUTICALS INC,COM,87164F105,3260,220000,SH,DFND,"1,2",220000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,SNDX
SYNDAX PHARMACEUTICALS INC,CALL,87164F105,1482,100000,SH,DFND,"1,2",0,0,100000,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,Call,SNDX
TCR2 THERAPEUTICS INC,COM,87808K106,461,30000,SH,DFND,"1,2",30000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,TCRR
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,7187,582878,SH,DFND,,582878,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,TEVA
TRILLIUM THERAPEUTICS INC,COM NEW,89620X506,9533,1178346,SH,DFND,"1,2",1178346,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,TRIL
UNIQURE NV,SHS,N90064101,4957,110000,SH,DFND,"1,2",110000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,QURE
VIKING THERAPEUTICS INC,COM,92686J106,1478,205000,SH,DFND,"1,2",205000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,VKTX
WAVE LIFE SCIENCES LTD,SHS,Y95308105,3050,293000,SH,DFND,"1,2",293000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,WVE
WIX COM LTD,SHS,M98068105,9631,37588,SH,DFND,,37588,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
X4 PHARMACEUTICALS INC,COM,98420X103,5273,565804,SH,DFND,"1,2",565804,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,XFOR
Y-MABS THERAPEUTICS INC,COM,984241109,12193,282252,SH,DFND,"1,2",282252,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,YMAB
ZYMEWORKS INC,COM,98985W102,4195,116310,SH,DFND,"1,2",116310,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ZYME
