nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,othermanager,putcall,ticker
APTOSE BIOSCIENCES INC,COM NEW,03835T200,3914,659000,SH,DFND,104100,0,554900,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,APTO
ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,139281,4673850,SH,DFND,4067564,0,606286,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ARQT
ARENA PHARMACEUTICALS INC,COM NEW,040047607,5603,133400,SH,SOLE,0,0,133400,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ARNA
ARGENX SE,SPONSORED ADR,04016X101,3766,28591,SH,SOLE,0,0,28591,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ARGX
ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,1959,68100,SH,SOLE,0,0,68100,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ARWR
ARVINAS INC,COM,04335A105,40099,995000,SH,DFND,560000,0,435000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ARVN
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,370194,3287400,SH,DFND,3011900,0,275500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ASND
ATHENEX INC,COM,04685N103,31032,4009346,SH,DFND,229000,0,3780346,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ATNX
ATRICURE INC,COM,04963C209,31178,928189,SH,DFND,143500,0,784689,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ATRC
AURINIA PHARMACEUTICALS INC,COM,05156V102,19393,1336547,SH,SOLE,0,0,1336547,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,AUPH
AVROBIO INC,COM,05455M100,10319,663174,SH,DFND,64000,0,599174,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,AVRO
BAUSCH HEALTH COS INC,COM,071734107,37198,2399880,SH,DFND,361200,0,2038680,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BHC
BELLUS HEALTH INC NEW,COM NEW,07987C204,69370,7025832,SH,DFND,4943416,0,2082416,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BLU
BENEFYTT TECHNOLOGIES INC,COM CL A,08182C106,21559,962900,SH,DFND,160400,0,802500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,
BIOGEN INC,COM,09062X103,151989,480400,SH,DFND,55700,0,424700,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BIIB
BIOLINERX LTD,SPONSORED ADS,09071M205,92,69240,SH,SOLE,69240,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,BLRX
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,45672,540500,SH,DFND,45000,0,495500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BMRN
BIOMX INC,COM,09090D103,16194,2313489,SH,SOLE,2313489,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
BIOXCEL THERAPEUTICS INC,COM,09075P105,2398,107300,SH,DFND,19000,0,88300,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BTAI
BOSTON SCIENTIFIC CORP,COM,101137107,158167,4847300,SH,DFND,939400,0,3907900,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BSX
BRISTOL-MYERS SQUIBB CO,COM,110122108,137945,2474800,SH,DFND,428700,0,2046100,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,BMY
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,1330,350000,SH,DFND,120140,0,229860,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,
CARA THERAPEUTICS INC,COM,140755109,7831,592800,SH,DFND,77200,0,515600,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,CARA
CASSAVA SCIENCES INC,COM,14817C107,1530,250000,SH,DFND,97500,0,152500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,Call,SAVA
CATABASIS PHARMACEUTICALS IN,COM NEW,14875P206,184,44398,SH,SOLE,44398,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,CATB
CENTENE CORP DEL,COM,15135B101,79354,1335700,SH,DFND,179300,0,1156400,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,CNC
CIGNA CORP NEW,COM,125523100,77906,439700,SH,DFND,84900,0,354800,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,CI
CORVUS PHARMACEUTICALS INC,COM,221015100,14280,6767584,SH,SOLE,6767584,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,CRVS
CRINETICS PHARMACEUTICALS IN,COM,22663K107,29977,2039282,SH,SOLE,2039282,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,CRNX
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,23376,551200,SH,DFND,37400,0,513800,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,CRSP
CTI BIOPHARMA CORP,COM,12648L601,8759,9520600,SH,SOLE,9520600,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,CTIC
CURIS INC,COM NEW,231269200,956,1358363,SH,DFND,116869,0,1241494,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,CRIS
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,47658,1157600,SH,DFND,190100,0,967500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,DCPH
DEXCOM INC,COM,252131107,91013,338000,SH,DFND,50000,0,288000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,DXCM
EDWARDS LIFESCIENCES CORP,COM,28176E108,33348,176800,SH,DFND,27800,0,149000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,EW
EHEALTH INC,COM,28238P109,89922,638558,SH,DFND,86021,0,552537,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,
ESSA PHARMA INC,COM NEW,29668H708,5887,1471853,SH,SOLE,1471853,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,EPIX
EXELIXIS INC,COM,30161Q104,54761,3180100,SH,DFND,391400,0,2788700,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,EXEL
FLEXION THERAPEUTICS INC,COM,33938J106,1047,133000,SH,SOLE,0,0,133000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,FLXN
GILEAD SCIENCES INC,COM,375558103,109979,1471100,SH,DFND,128600,0,1342500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,GILD
GLAUKOS CORP,COM,377322102,47760,1547646,SH,SOLE,1547646,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,GKOS
HARPOON THERAPEUTICS INC,COM,41358P106,28329,2446409,SH,DFND,1360704,0,1085705,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,HARP
HCA HEALTHCARE INC,COM,40412C101,63776,709800,SH,DFND,121000,0,588800,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,HCA
HEALTH CATALYST INC,COM,42225T107,4696,179598,SH,SOLE,179598,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
HERON THERAPEUTICS INC,COM,427746102,6309,537420,SH,SOLE,0,0,537420,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,HRTX
HORIZON THERAPEUTICS PUB LTD,SHS,G46188101,69361,2341700,SH,DFND,324500,0,2017200,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,HZNP
HUMANA INC,COM,444859102,88020,280300,SH,DFND,42300,0,238000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,HUM
IGM BIOSCIENCES INC,COM,449585108,4535,80760,SH,DFND,7460,0,73300,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,IGMS
IMARA INC,COM,45249V107,43600,2719902,SH,DFND,2532402,0,187500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,IMRA
IMMUNOVANT INC,COM,45258J102,2794,179500,SH,DFND,34500,0,145000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,
INFLARX NV,COM,N44821101,4078,1067600,SH,DFND,403800,0,663800,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,IFRX
INSPIRE MED SYS INC,COM,457730109,20917,347000,SH,SOLE,347000,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,INSP
INTELLIA THERAPEUTICS INC,COM,45826J105,3205,262100,SH,SOLE,262100,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,NTLA
INTERSECT ENT INC,COM,46071F103,812,68553,SH,DFND,6600,0,61953,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,XENT
INTUITIVE SURGICAL INC,COM NEW,46120E602,83740,169100,SH,DFND,27700,0,141400,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ISRG
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,166089,5548326,SH,DFND,1337800,0,4210526,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,IOVA
IQVIA HLDGS INC,COM,46266C105,18876,175000,SH,SOLE,0,0,175000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,IQV
IVERIC BIO INC,COM,46583P102,2580,750000,SH,SOLE,0,0,750000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ISEE
KALA PHARMACEUTICALS INC,COM,483119103,47490,5402730,SH,DFND,4651895,0,750835,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,KALA
KALVISTA PHARMACEUTICALS INC,COM,483497103,3218,420641,SH,DFND,46500,0,374141,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,KALV
KITOV PHARMA LTD,SPONSORED ADS,49803V107,1058,3461983,SH,SOLE,3461983,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,KTOV
LOGICBIO THERAPEUTICS INC,COM,54142F102,31946,6466783,SH,SOLE,6466783,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,LOGC
MEIRAGTX HOLDINGS PLC,COM,G59665102,48146,3582320,SH,DFND,133500,0,3448820,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,MGTX
MENLO THERAPEUTICS INC,COM,586858102,4693,1751295,SH,SOLE,0,0,1751295,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
MERCK  CO. INC,COM,58933Y105,199205,2589100,SH,DFND,382100,0,2207000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,MRK
MERSANA THERAPEUTICS INC,COM,59045L106,7851,1346721,SH,SOLE,0,0,1346721,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,MRSN
MIRATI THERAPEUTICS INC,COM,60468T105,109409,1423300,SH,DFND,197700,0,1225600,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,MRTX
MUSTANG BIO INC,COM,62818Q104,675,251685,SH,SOLE,251685,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,MBIO
NABRIVA THERAPEUTICS PLC,SHS,G63637105,2671,4644600,SH,SOLE,4644600,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,NBRV
NANOSTRING TECHNOLOGIES INC,COM,63009R109,28677,1192400,SH,DFND,156400,0,1036000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,NSTG
NATERA INC,COM,632307104,99941,3347000,SH,DFND,989200,0,2357800,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,NTRA
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,10490,921800,SH,DFND,159000,0,762800,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,NLTX
NEUBASE THERAPEUTICS INC,COM,64132K102,2642,371114,SH,DFND,37000,0,334114,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,NBSE
NEUROCRINE BIOSCIENCES INC,COM,64125C109,99967,1155015,SH,DFND,137470,0,1017545,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,NBIX
NEXTCURE INC,COM,65343E108,100497,2711013,SH,SOLE,2711013,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,NXTC
NOVO-NORDISK A S,ADR,670100205,19866,330000,SH,SOLE,0,0,330000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
NOVUS THERAPEUTICS INC,COM,67011N105,1241,3183314,SH,SOLE,3183314,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
OBSEVA SA,COM,H5861P103,6279,2605531,SH,SOLE,2605531,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,OBSV
OTONOMY INC,COM,68906L105,142,71994,SH,SOLE,71994,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,OTIC
PASSAGE BIO INC,COM,702712100,109666,6962899,SH,DFND,5947323,0,1015576,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,PASG
PFENEX INC,COM,717071104,11510,1305034,SH,DFND,131668,0,1173366,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,
PFIZER INC,COM,717081103,98315,3012100,SH,DFND,521900,0,2490200,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,PFE
PFIZER INC,COM,717081103,16320,500000,SH,DFND,159000,0,341000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,Call,PFE
PREVAIL THERAPEUTICS INC,COM,74140Y101,168496,13822463,SH,SOLE,13822463,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,PRVL
PROTAGONIST THERAPEUTICS INC,COM,74366E102,472,66909,SH,SOLE,0,0,66909,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,PTGX
PROTHENA CORP PLC,SHS,G72800108,31054,2902239,SH,DFND,613800,0,2288439,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,PRTA
PTC THERAPEUTICS INC,COM,69366J200,51245,1148723,SH,DFND,184300,0,964423,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,PTCT
REGENERON PHARMACEUTICALS,COM,75886F107,8399,17200,SH,SOLE,0,0,17200,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,REGN
REGENXBIO INC,COM,75901B107,8668,267700,SH,DFND,33200,0,234500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,RGNX
RESTORBIO INC,COM,76133L103,4975,4830387,SH,SOLE,4830387,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
REVOLUTION MEDICINES INC,COM,76155X100,6573,300000,SH,DFND,36500,0,263500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,RVMD
SAREPTA THERAPEUTICS INC,COM,803607100,88278,902449,SH,DFND,148300,0,754149,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,SRPT
SCPHARMACEUTICALS INC,COM,810648105,25233,3409865,SH,SOLE,3409865,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,SCPH
SELECT SECTOR SPDR TR,SBI HEALTHCARE,81369Y209,10027,113200,SH,SOLE,113200,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
SELECTA BIOSCIENCES INC,COM,816212104,6251,2593869,SH,SOLE,2593869,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,SELB
SI BONE INC,COM,825704109,16507,1381300,SH,DFND,76000,0,1305300,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,
SIERRA ONCOLOGY INC,COM NEW,82640U404,14507,1477320,SH,DFND,1306860,0,170460,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,SRRA
SINOVAC BIOTECH LTD,SHS,P8696W104,17151,2839500,SH,SOLE,0,0,2839500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,SVA
SPDR SP 500 ETF TR,TR UNIT,78462F103,15774,50000,SH,DFND,15500,0,34500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,Put,
SPDR SER TR,SP BIOTECH,78464A870,9850,127200,SH,SOLE,127200,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
SPRINGWORKS THERAPEUTICS INC,COM,85205L107,199970,7406307,SH,SOLE,7406307,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,SWTX
STRYKER CORP,COM,863667101,61784,371100,SH,DFND,63000,0,308100,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,SYK
SUTRO BIOPHARMA INC,COM,869367102,1069,104800,SH,SOLE,104800,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,STRO
SYNDAX PHARMACEUTICALS INC,COM,87164F105,3181,290000,SH,DFND,212000,0,78000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,SNDX
SYNLOGIC INC,COM,87166L100,3492,2029996,SH,SOLE,2029996,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,SYBX
TELA BIO INC,COM,872381108,23675,3027542,SH,SOLE,3027542,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,TELA
THERAVANCE BIOPHARMA INC,COM,G8807B106,4889,211545,SH,SOLE,0,0,211545,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,TBPH
THERMO FISHER SCIENTIFIC INC,COM,883556102,31281,110300,SH,DFND,16800,0,93500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,TMO
TRICIDA INC,COM,89610F101,211514,9614280,SH,SOLE,9614280,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,TCDA
TRILLIUM THERAPEUTICS INC,COM NEW,89620X506,3236,801000,SH,DFND,391800,0,409200,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,TRIL
TURNING POINT THERAPEUTICS I,COM,90041T108,122606,2745327,SH,DFND,2027550,0,717777,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,TPTX
UNIQURE NV,SHS,N90064101,46690,983979,SH,DFND,153000,0,830979,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,QURE
VERONA PHARMA PLC,SPONSORED ADS,925050106,5152,1250396,SH,SOLE,1250396,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,VRNA
VERRICA PHARMACEUTICALS INC,COM,92511W108,16173,1479733,SH,SOLE,1479733,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,VRCA
VERTEX PHARMACEUTICALS INC,COM,92532F100,175464,737400,SH,DFND,113100,0,624300,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,VRTX
X4 PHARMACEUTICALS INC,COM,98420X103,10865,1086493,SH,SOLE,1086493,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,XFOR
XENON PHARMACEUTICALS INC,COM,98420N105,18856,1662812,SH,DFND,732512,0,930300,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,XENE
XTANT MED HLDGS INC,COM NEW,98420P308,6169,9207012,SH,SOLE,9207012,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,XTNT
ZAFGEN INC,COM,98885E103,852,1106529,SH,SOLE,1106529,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,
ZAI LAB LTD,ADR,98887Q104,13076,254000,SH,SOLE,254000,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ZLAB
ZYMEWORKS INC,COM,98985W102,20654,582302,SH,DFND,15300,0,567002,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ZYME
