nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
NEXTCURE INC,COM,65343E108,48671,1312956,SH,DFND,"1,2",1312956,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,NXTC
PROTHENA CORP PLC,SHS,G72800108,22286,2082841,SH,DFND,"1,2",2082841,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,PRTA
PTC THERAPEUTICS INC,COM,69366J200,78665,1763387,SH,DFND,"1,2",1763387,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,PTCT
SAGE THERAPEUTICS INC,COM,78667J108,52399,1824479,SH,DFND,"1,2",1824479,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,SAGE
SANGAMO THERAPEUTICS INC,COM,800677106,4035,633505,SH,DFND,"1,2",633505,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,SGMO
TG THERAPEUTICS INC,COM,88322Q108,25154,2556324,SH,DFND,"1,2",2556324,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,TGTX
TG THERAPEUTICS INC,COM,88322Q108,9840,1000000,SH,DFND,"1,2",1000000,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,Call,TGTX
UNITED THERAPEUTICS CORP DEL,COM,91307C102,52747,556252,SH,DFND,"1,2",556252,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,UTHR
VIEWRAY INC,COM,92672L107,6935,2773811,SH,DFND,"1,2",2773811,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,VRAY
ZYMEWORKS INC,COM,98985W102,82457,2324688,SH,DFND,"1,2",2324688,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,ZYME
