nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
MERUS N V,COM,N5749R100,81907,5090571,SH,DFND,1,0,5090571,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,MRUS
MOLECULAR TEMPLATES INC,COM,608550109,29635,2149057,SH,DFND,1,0,2149057,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,MTEM
NOVUS THERAPEUTICS INC,COM,67011N105,818,1785000,SH,DFND,1,0,1785000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,
OVID THERAPEUTICS INC,COM,690469101,17630,2392151,SH,DFND,1,0,2392151,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,OVID
PHATHOM PHARMACEUTICALS INC,COM,71722W107,10600,322098,SH,DFND,1,0,322098,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,PHAT
PIERIS PHARMACEUTICALS INC,COM,720795103,9658,3115382,SH,DFND,1,0,3115382,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,PIRS
PRINCIPIA BIOPHARMA INC,COM,74257L108,88769,1484674,SH,DFND,1,0,1484674,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,
PROTAGONIST THERAPEUTICS INC,COM,74366E102,41806,2367288,SH,DFND,1,0,2367288,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,PTGX
REGULUS THERAPEUTICS INC,COM NEW,75915K200,988,1450000,SH,DFND,1,0,1450000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,
REPARE THERAPEUTICS INC,COM,760273102,60320,1944546,SH,DFND,1,0,1944546,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,RPTX
REPLIMUNE GROUP INC,COM,76029N106,57529,2315053,SH,DFND,1,0,2315053,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,REPL
REVOLUTION MEDICINES INC,COM,76155X100,25202,798286,SH,DFND,1,0,798286,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,RVMD
SELECTA BIOSCIENCES INC,COM,816212104,23557,8294547,SH,DFND,1,0,8294547,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,SELB
SPERO THERAPEUTICS INC,COM,84833T103,6583,486540,SH,DFND,1,0,486540,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,SPRO
SPRING BK PHARMACEUTICALS INC,COM,849431101,1384,941171,SH,DFND,1,0,941171,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,
SPRINGWORKS THERAPEUTICS INC,COM,85205L107,96049,2286891,SH,DFND,1,0,2286891,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,SWTX
SUNESIS PHARMACEUTICALS INC,COM,867328700,684,2594925,SH,DFND,1,0,2594925,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,
SURFACE ONCOLOGY INC,COM,86877M209,13373,2038528,SH,DFND,1,0,2038528,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,SURF
SUTRO BIOPHARMA INC,COM,869367102,18379,2368392,SH,DFND,1,0,2368392,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,STRO
SYNDAX PHARMACEUTICALS INC,COM,87164F105,36615,2470678,SH,DFND,1,0,2470678,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,SNDX
VERASTEM INC,COM,92337C104,8650,5028994,SH,DFND,1,0,5028994,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,VSTM
X4 PHARMACEUTICALS INC,COM,98420X103,9422,1010892,SH,DFND,1,0,1010892,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,XFOR
XENCOR INC,COM,98401F105,66986,2068098,SH,DFND,1,0,2068098,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,XNCR
XENON PHARMACEUTICALS INC,COM,98420N105,44101,3516851,SH,DFND,1,0,3516851,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,XENE
XOMA CORP DEL,COM NEW,98419J206,79557,4026157,SH,DFND,1,0,4026157,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,XOMA
