nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,putcall,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
AURINIA PHARMACEUTICALS,COM,05156V902,448,309,SH,Call,DFND,1,0,309,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
AVEO PHARMACEUTICALS INC,COM,053588307,406,112155,SH,,DFND,1,0,112155,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,AVEO
AVEO PHARMACEUTICALS INC,COM,053588907,1531,4229,SH,Call,DFND,1,0,4229,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
AVEO PHARMACEUTICALS INC,COM,053588957,2410,10248,SH,Put,DFND,1,0,10248,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
AVINGER INC,COM,053734604,236,568400,SH,,DFND,1,0,568400,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
BRAINSTORM CELL INC,COM,10501E951,1875,4041,SH,Put,DFND,1,0,4041,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
BELLICUM PHARMACEUTICALS,COM,079481404,89,18927,SH,,DFND,1,0,18927,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,BLCM
BRIDGELINE DIGITAL INC,COM,10807Q700,73,110000,SH,,DFND,1,0,110000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
BENITEC BIOPHARMA LTD,ADS,082053406,85,21592,SH,,DFND,1,0,21592,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
BIO PATH HLDGS INC,COM,09057N300,694,154290,SH,,DFND,1,0,154290,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
BAUDAX BIO INC,COM,07160F107,927,373977,SH,,DFND,1,0,373977,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
CANNABICS,COM,13764M100,1,7286,SH,,DFND,1,0,7286,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
COCRYSTAL PHARMA INC,COM,19188J300,278,392206,SH,,DFND,1,0,392206,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,COCP
CITIUS PHARMACEUTICALS,COM,17322U207,813,1354275,SH,,DFND,1,0,1354275,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,CTXR
CEL-SCI CORP,COM,150837607,635,55035,SH,,DFND,1,0,55035,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
CEL-SCI CORP,COM,150837957,2599,2252,SH,Put,DFND,1,0,2252,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
AURIS MEDICAL HOLDING,COM,G07025201,72,89451,SH,,DFND,1,0,89451,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ENERGY FOCUS INC,COM,29268T300,88,267298,SH,,DFND,1,0,267298,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ENLIVEX THERAPEUTICS LTD,COM,M4130Y106,2086,445673,SH,,DFND,1,0,445673,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,ENLV
FIBROGEN INC,COM,31572Q958,1254,361,SH,Put,DFND,1,0,361,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
GILEAD SCIENCES INC,COM,375558903,2764,2166,SH,Call,DFND,1,0,2166,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SPDR GOLD TRUST,SHS,78463V107,2655,17934,SH,,DFND,1,0,17934,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SPDR GOLD TRUST,SHS,78463V907,14420,974,SH,Call,DFND,1,0,974,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SPDR GOLD TRUST,SHS,78463V957,20668,1396,SH,Put,DFND,1,0,1396,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
GENOCEA BIOSCIENCES INC,COM,372427401,757,440274,SH,,DFND,1,0,440274,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,GNCA
GENOCEA BIOSCIENCES INC,COM,372427901,207,1201,SH,Call,DFND,1,0,1201,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
GENPREX INC,COM,372446954,107,441,SH,Put,DFND,1,0,441,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
HEPION PHARMACEUTICALS,COM,426897104,128,72575,SH,,DFND,1,0,72575,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
HELIUS MEDICAL,COM,42328V504,246,746316,SH,,DFND,1,0,746316,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ISHARES NASDAQ BIOTECH,ETF,464287906,2036,189,SH,Call,DFND,1,0,189,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ISHARES NASDAQ BIOTECH,ETF,464287956,6917,642,SH,Put,DFND,1,0,642,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ISHARES RUSSELL 2000,ETF,464287655,675,5900,SH,,DFND,1,0,5900,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ISHARES RUSSELL 2000,ETF,464287905,4407,385,SH,Call,DFND,1,0,385,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ISHARES RUSSELL 2000,ETF,464287955,23556,2058,SH,Put,DFND,1,0,2058,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
MEDIGUS LTD,*W,58471G128,22,1007444,SH,,DFND,1,0,1007444,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
MYOMO INC,COM,62857J201,184,51588,SH,,DFND,1,0,51588,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
NABRIVA THERAPEUTICS PLC,SHS,G63637105,211,367613,SH,,DFND,1,0,367613,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,NBRV
NOVAN INC,COM,66988N106,2108,4438159,SH,,DFND,1,0,4438159,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,NOVN
INSPIREMD INC,COM,45779A853,7,11036,SH,,DFND,1,0,11036,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
INTEC PHARMA LTD,COM,M53644906,3,175,SH,Call,DFND,1,0,175,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
NEUROMETRIX INC,COM,641255807,93,82250,SH,,DFND,1,0,82250,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
INVIVO THERAPEUTICS,COM,46186M506,55,32660,SH,,DFND,1,0,32660,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
OBALON THERAPEUTICS INC,COM,67424L209,124,172389,SH,,DFND,1,0,172389,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ODONATE THERAPEUTICS INC,COM,676079106,1353,48988,SH,,DFND,1,0,48988,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,ODT
ODONATE THERAPEUTICS INC,COM,676079956,1229,445,SH,Put,DFND,1,0,445,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ORAMED PHARMS INC,COM,68403P953,550,1809,SH,Put,DFND,1,0,1809,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
OUTLOOK THERAPEUTICS INC,COM,69012T206,1943,3232342,SH,,DFND,1,0,3232342,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,OTLK
PAVMED INC,*W,70387R122,962,1035396,SH,,DFND,1,0,1035396,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
PHASEBIO PHARMACEUTICALS,COM,717224109,356,107577,SH,,DFND,1,0,107577,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,PHAS
PHIO PHARMACEUTICALS,COM,71880W303,452,255194,SH,,DFND,1,0,255194,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
PLURISTEM THERAPEUTICS,COM,72940R300,705,192049,SH,,DFND,1,0,192049,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,PSTI
PLURISTEM THERAPEUTICS,COM,72940R950,768,2093,SH,Put,DFND,1,0,2093,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
POLARITYTE INC,COM,731094108,377,349358,SH,,DFND,1,0,349358,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
REEBONZ HOLDING LTD,COM,G7457R122,10,25000,SH,,DFND,1,0,25000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
REWALK ROBOTICS LTD,COM,M8216Q200,99,229699,SH,,DFND,1,0,229699,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SEELOS THERAPEUTICS INC,COM,81577F109,249,508000,SH,,DFND,1,0,508000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,SEEL
SEANERGY MARITIME,*W,Y73760152,45,897499,SH,,DFND,1,0,897499,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SINTX TECHNOLOGIES INC,COM,829392307,7,18272,SH,,DFND,1,0,18272,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,SINT
SENECA BIOPHARMA INC,COM,81689B103,76,115311,SH,,DFND,1,0,115311,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SPDR SP 500 ETF TR,ETF,78462F903,8609,334,SH,Call,DFND,1,0,334,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SPDR SP 500 ETF TR,ETF,78462F953,38663,1500,SH,Put,DFND,1,0,1500,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SORRENTO THERAPEUTICS,COM,83587F202,529,287386,SH,,DFND,1,0,287386,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,SRNE
SORRENTO THERAPEUTICS,COM,83587F952,289,1569,SH,Put,DFND,1,0,1569,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SYNTHETIC BIOLOGICS INC,COM,87164U201,25,76896,SH,,DFND,1,0,76896,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
TENAX THERAPEUTICS INC,COM,88032L209,19,32842,SH,,DFND,1,0,32842,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
PARETEUM CORP,COM,69946T207,236,572271,SH,,DFND,1,0,572271,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
PARETEUM CORP,COM,69946T957,21,572,SH,Put,DFND,1,0,572,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
TRILLIUM THERAPEUTICS,COM,89620X506,1163,287906,SH,,DFND,1,0,287906,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,TRIL
TRILLIUM THERAPEUTICS,COM,89620X906,404,1000,SH,Call,DFND,1,0,1000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
TRILLIUM THERAPEUTICS,COM,89620X956,182,451,SH,Put,DFND,1,0,451,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
TRANSENTERIX INC,COM,89366M300,619,1760262,SH,,DFND,1,0,1760262,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
TETRAPHASE,COM,88165N204,854,667000,SH,,DFND,1,0,667000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
BARCLAYS IPATH,ETF,06745R903,1156,250,SH,Call,DFND,1,0,250,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SPDR SERIES TRUST,ETF,78464A950,13699,1769,SH,Put,DFND,1,0,1769,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
XENETIC BIOSCIENCES INC,COM,984015503,45,60523,SH,,DFND,1,0,60523,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SECTOR HEALTHCARE,ETF,81369Y209,3048,34410,SH,,DFND,1,0,34410,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SECTOR HEALTHCARE,ETF,81369Y909,8858,1000,SH,Call,DFND,1,0,1000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
SECTOR HEALTHCARE,ETF,81369Y959,51846,5853,SH,Put,DFND,1,0,5853,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ZOSANO PHARMA CORP,COM,98979H202,114,203536,SH,,DFND,1,0,203536,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,ZSAN
