nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,othermanager,ticker
Menlo Therapeutics Inc,COMM,586858102,547,316027,SH,SOLE,316027,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,
Merck  Co Inc,COMM,58933Y105,15233,196985,SH,SOLE,196985,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,MRK
Mersana Therapeutics Inc,COMM,59045L106,1408,60184,SH,SOLE,60184,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,MRSN
Mirati Therapeutics Inc,COMM,60468T105,401,3514,SH,SOLE,3514,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,MRTX
Mirum Pharmaceuticals Inc,COMM,604749101,4590,235882,SH,SOLE,235882,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,MIRM
MyoKardia Inc,COMM,62857M105,4718,48826,SH,SOLE,48826,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,MYOK
Novocure Ltd,COMM,G6674U908,1293,21800,SH,SOLE,21800,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,,
Oric Pharmaceuticals Inc,COMM,68622P109,255,7569,SH,SOLE,7569,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ORIC
Otonomy Inc,COMM,68906L105,2672,738154,SH,SOLE,738154,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,OTIC
PTC Therapeutics Inc,COMM,69366J200,9710,191358,SH,SOLE,191358,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,PTCT
PTC Therapeutics Inc,COMM,69366J900,1324,26100,SH,SOLE,26100,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,,
Pfizer Inc,COMM,717081903,2492,76200,SH,SOLE,76200,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,,
Protagonist Therapeutics Inc,COMM,74366E102,2508,142020,SH,SOLE,142020,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,PTGX
Puma Biotechnology Inc,COMM,74587V107,5427,520370,SH,SOLE,520370,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,PBYI
Reata Pharmaceuticals Inc,COMM,75615P103,886,5680,SH,SOLE,5680,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,RETA
Rigel Pharmaceuticals Inc,COMM,766559603,271,147828,SH,SOLE,147828,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,RIGL
SPDR Ser Tr,SP Biotech,78464A950,7310,65300,SH,SOLE,65300,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,,
Supernus Pharmaceuticals Inc,COMM,868459108,4959,208815,SH,SOLE,208815,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,SUPN
Syndax Pharmaceuticals Inc,COMM,87164F105,601,40583,SH,SOLE,40583,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,SNDX
TG Therapeutics Inc,COMM,88322Q108,5910,303374,SH,SOLE,303374,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,TGTX
United Therapeutics Corp,COMM,91307C102,16048,132624,SH,SOLE,132624,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,UTHR
Zymeworks Inc,COMM,98985W102,4394,121815,SH,SOLE,121815,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ZYME
iShares Tr,Russell 2000 ETF,464287955,4367,30500,SH,SOLE,30500,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,,
Abbvie Inc,COMM,00287Y109,4067,41422,SH,OTR,41422,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,ABBV
Acceleron Pharma Inc,COMM,00434H108,3408,35774,SH,OTR,35774,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,XLRN
Akebia Therapeutics Inc,COMM,00972D105,1525,112262,SH,OTR,112262,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,AKBA
Alnylam Pharmaceuticals Inc,COMM,02043Q907,3658,24700,SH,OTR,24700,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,1,
Amgen Inc,COMM,031162950,6510,27600,SH,OTR,27600,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,1,
Applied Genetic Technologies Corp,COMM,03820J100,973,175613,SH,OTR,175613,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,AGTC
Arena Pharmaceuticals Inc,COMM,040047607,144,2292,SH,OTR,2292,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,ARNA
Axsome Therapeutics Inc,COMM,05464T104,1178,14319,SH,OTR,14319,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,AXSM
BioCryst Pharmaceuticals Inc,COMM,09058V103,1063,223133,SH,OTR,223133,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,BCRX
Biomarin Pharmaceutical Inc,COMM,09061G101,1275,10340,SH,OTR,10340,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,BMRN
Blueprint Medicines Corp,COMM,09627Y109,1217,15607,SH,OTR,15607,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,BPMC
Calithera Biosciences Inc,COMM,13089P101,787,149096,SH,OTR,149096,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,CALA
ChemoCentryx Inc,COMM,16383L106,918,15954,SH,OTR,15954,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,CCXI
Compugen Ltd,COMM,M25722105,256,17030,SH,OTR,17030,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,CGEN
Constellation Pharmaceuticals Inc,COMM,210373106,1024,34077,SH,OTR,34077,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,CNST
Cytokinetics Inc,COMM,23282W605,621,26340,SH,OTR,26340,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,CYTK
Eli Lilly  Co,COMM,532457108,4021,24493,SH,OTR,24493,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,
Gilead Sciences Inc,COMM,375558103,5104,66335,SH,OTR,66335,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,GILD
Select Sector SPDR Tr,SBI Healthcare,81369Y959,2472,24700,SH,OTR,24700,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,1,
Homology Medicines Inc,COMM,438083107,826,54376,SH,OTR,54376,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,FIXX
Horizon Therapeutics PLC,COMM,G46188101,2314,41630,SH,OTR,41630,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,HZNP
Immunovant Inc,COMM,45258J102,168,6900,SH,OTR,6900,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,
Insmed Inc,COMM,457669307,2193,79643,SH,OTR,79643,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,INSM
Intellia Therapeutics Inc,COMM,45826J105,199,9459,SH,OTR,9459,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,NTLA
Intra-Cellular Therapies Inc,COMM,46116X951,929,36200,SH,OTR,36200,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,1,
Intra-Cellular Therapies Inc,COMM,46116X101,1021,39793,SH,OTR,39793,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,
Invesco QQQ Trust,UNIT SER 1,46090E953,1213,4900,SH,OTR,4900,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,1,
Jazz Pharmaceuticals PLC,COMM,G50871105,4417,40035,SH,OTR,40035,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,JAZZ
Kadmon Holdings Inc,COMM,48283N106,1290,251920,SH,OTR,251920,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,KDMN
Kala Pharmaceuticals Inc,COMM,483119103,876,83359,SH,OTR,83359,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,KALA
Kura Oncology Inc,COMM,50127T109,1637,100445,SH,OTR,100445,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,KURA
Liquidia Technologies Inc,COMM,53635D202,1109,131694,SH,OTR,131694,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,LQDA
Menlo Therapeutics Inc,COMM,586858102,207,119406,SH,OTR,119406,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,
Merck  Co Inc,COMM,58933Y105,5739,74217,SH,OTR,74217,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,MRK
Mersana Therapeutics Inc,COMM,59045L106,531,22681,SH,OTR,22681,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,MRSN
Mirati Therapeutics Inc,COMM,60468T105,152,1328,SH,OTR,1328,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,MRTX
Mirum Pharmaceuticals Inc,COMM,604749101,1735,89150,SH,OTR,89150,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,MIRM
MyoKardia Inc,COMM,62857M105,1776,18385,SH,OTR,18385,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,MYOK
Novocure Ltd,COMM,G6674U908,486,8200,SH,OTR,8200,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,1,
Oric Pharmaceuticals Inc,COMM,68622P109,96,2858,SH,OTR,2858,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,ORIC
Otonomy Inc,COMM,68906L105,1028,283853,SH,OTR,283853,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,OTIC
PTC Therapeutics Inc,COMM,69366J200,3658,72085,SH,OTR,72085,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,PTCT
PTC Therapeutics Inc,COMM,69366J900,502,9900,SH,OTR,9900,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,1,
Pfizer Inc,COMM,717081903,942,28800,SH,OTR,28800,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,1,
Protagonist Therapeutics Inc,COMM,74366E102,947,53626,SH,OTR,53626,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,PTGX
Puma Biotechnology Inc,COMM,74587V107,2055,196982,SH,OTR,196982,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,PBYI
Reata Pharmaceuticals Inc,COMM,75615P103,335,2146,SH,OTR,2146,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,RETA
Rigel Pharmaceuticals Inc,COMM,766559603,102,55898,SH,OTR,55898,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,RIGL
SPDR Ser Tr,SP Biotech,78464A950,2765,24700,SH,OTR,24700,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,1,
Supernus Pharmaceuticals Inc,COMM,868459108,1868,78672,SH,OTR,78672,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,SUPN
Syndax Pharmaceuticals Inc,COMM,87164F105,227,15286,SH,OTR,15286,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,SNDX
TG Therapeutics Inc,COMM,88322Q108,2233,114646,SH,OTR,114646,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,TGTX
United Therapeutics Corp,COMM,91307C102,6066,50133,SH,OTR,50133,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,UTHR
Zymeworks Inc,COMM,98985W102,1654,45848,SH,OTR,45848,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,1,ZYME
iShares Tr,Russell 2000 ETF,464287955,1647,11500,SH,OTR,11500,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,1,
Abbvie Inc,COMM,00287Y109,9899,100820,SH,OTR,100820,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,ABBV
Acceleron Pharma Inc,COMM,00434H108,8286,86975,SH,OTR,86975,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,XLRN
Akebia Therapeutics Inc,COMM,00972D105,3704,272718,SH,OTR,272718,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,AKBA
Alnylam Pharmaceuticals Inc,COMM,02043Q907,8887,60000,SH,OTR,60000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,2,
Amgen Inc,COMM,031162950,15897,67400,SH,OTR,67400,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,2,
Applied Genetic Technologies Corp,COMM,03820J100,2790,503538,SH,OTR,503538,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,AGTC
Arena Pharmaceuticals Inc,COMM,040047607,351,5572,SH,OTR,5572,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,ARNA
Axsome Therapeutics Inc,COMM,05464T104,2862,34788,SH,OTR,34788,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,AXSM
BioCryst Pharmaceuticals Inc,COMM,09058V103,2586,542609,SH,OTR,542609,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,BCRX
Biomarin Pharmaceutical Inc,COMM,09061G101,3104,25167,SH,OTR,25167,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,BMRN
Blueprint Medicines Corp,COMM,09627Y109,2953,37857,SH,OTR,37857,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,BPMC
Calithera Biosciences Inc,COMM,13089P101,2614,495126,SH,OTR,495126,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,CALA
ChemoCentryx Inc,COMM,16383L106,2231,38770,SH,OTR,38770,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,CCXI
Compugen Ltd,COMM,M25722105,623,41450,SH,OTR,41450,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,CGEN
Constellation Pharmaceuticals Inc,COMM,210373106,2490,82866,SH,OTR,82866,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,CNST
Cytokinetics Inc,COMM,23282W605,1511,64110,SH,OTR,64110,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,CYTK
Eli Lilly  Co,COMM,532457108,9781,59573,SH,OTR,59573,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,
Gilead Sciences Inc,COMM,375558103,12422,161453,SH,OTR,161453,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,2,GILD
