nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,othermanager,putcall,ticker
APPLIED THERAPEUTICS INC,COM,03828A101,44019,1217678,SH,DFND,58532,0,1159146,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,APLT
APTOSE BIOSCIENCES INC,COM NEW,03835T200,6000,950841,SH,DFND,169700,0,781141,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,APTO
ARCTURUS THERAPEUTICS HLDG I,COM,03969T109,11180,239186,SH,DFND,48026,0,191160,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ARCT
ARCUS BIOSCIENCES INC,COM,03969F109,5451,220350,SH,DFND,26900,0,193450,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,RCUS
ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,141337,4673850,SH,DFND,4067564,0,606286,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ARQT
ARENA PHARMACEUTICALS INC,COM NEW,040047607,4199,66700,SH,SOLE,0,0,66700,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ARNA
ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,2941,68100,SH,SOLE,0,0,68100,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ARWR
ARVINAS INC,COM,04335A105,986,29400,SH,SOLE,0,0,29400,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ARVN
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,231166,1562986,SH,DFND,1287486,0,275500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ASND
ATHENEX INC,COM,04685N103,55169,4009346,SH,DFND,229000,0,3780346,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ATNX
ATRICURE INC,COM,04963C209,55207,1228189,SH,DFND,187000,0,1041189,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ATRC
AURINIA PHARMACEUTICALS INC,COM,05156V102,19441,1196347,SH,SOLE,0,0,1196347,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,AUPH
AVIDITY BIOSCIENCES INC,COM,05370A108,5652,200000,SH,SOLE,0,0,200000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,RNA
AVROBIO INC,COM,05455M100,13850,793712,SH,DFND,129000,0,664712,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,AVRO
BELLUS HEALTH INC NEW,COM NEW,07987C204,53001,5137216,SH,DFND,3954800,0,1182416,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,BLU
BENEFYTT TECHNOLOGIES INC,COM CL A,08182C106,19701,962900,SH,DFND,160400,0,802500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
BIOGEN INC,COM,09062X103,191539,715900,SH,DFND,79200,0,636700,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,BIIB
BIOLINERX LTD,SPONSORED ADS,09071M205,118,69240,SH,SOLE,69240,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,BLRX
BIOMX INC,COM,09090D103,12770,2313489,SH,SOLE,2313489,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,
BOSTON SCIENTIFIC CORP,COM,101137107,170189,4847300,SH,DFND,939400,0,3907900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,BSX
BRISTOL-MYERS SQUIBB CO,COM,110122108,169473,2882200,SH,DFND,450300,0,2431900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,BMY
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,1253,350000,SH,DFND,120140,0,229860,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
BURNING ROCK BIOTECH LTD,SPONSORED ADS,12233L107,128191,4746071,SH,DFND,523598,0,4222473,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,BNR
CALLIDITAS THERAPEUTICS AB,SPONSERED ADS,13124Q106,5220,225000,SH,SOLE,0,0,225000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,CALT
CELLDEX THERAPEUTICS INC NEW,COM NEW,15117B202,8125,625000,SH,DFND,84800,0,540200,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,CLDX
CENTENE CORP DEL,COM,15135B101,84884,1335700,SH,DFND,179300,0,1156400,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,CNC
CIGNA CORP NEW,COM,125523100,82510,439700,SH,DFND,84900,0,354800,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,CI
CORBUS PHARMACEUTICALS HLDGS,COM,21833P103,2937,350000,SH,DFND,126500,0,223500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,Put,CRBP
CORVUS PHARMACEUTICALS INC,COM,221015100,18408,6767584,SH,SOLE,6767584,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,CRVS
CRINETICS PHARMACEUTICALS IN,COM,22663K107,48242,2753567,SH,SOLE,2753567,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,CRNX
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,51261,697524,SH,DFND,56200,0,641324,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,CRSP
CTI BIOPHARMA CORP,COM,12648L601,11044,9520600,SH,SOLE,9520600,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,CTIC
CURIS INC,COM NEW,231269200,1502,1241494,SH,SOLE,0,0,1241494,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,CRIS
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,67227,1125700,SH,DFND,190100,0,935600,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,DCPH
DEXCOM INC,COM,252131107,91783,226400,SH,DFND,33500,0,192900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,DXCM
EDWARDS LIFESCIENCES CORP,COM,28176E108,36656,530400,SH,DFND,83400,0,447000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,EW
EHEALTH INC,COM,28238P109,62732,638558,SH,DFND,86021,0,552537,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
ESSA PHARMA INC,COM NEW,29668H708,9125,1471853,SH,SOLE,1471853,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,EPIX
EXELIXIS INC,COM,30161Q104,57073,2404100,SH,DFND,288800,0,2115300,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,EXEL
FLEXION THERAPEUTICS INC,COM,33938J106,22145,1684000,SH,DFND,84100,0,1599900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,FLXN
FLUIDIGM CORP DEL,COM,34385P108,11657,2907100,SH,DFND,341700,0,2565400,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,FLDM
FORTE BIOSCIENCES INC,COM,34962G109,13856,950316,SH,DFND,375301,0,575015,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,FBRX
FUSION PHARMACEUTICALS INC,COM,36118A100,56337,3224770,SH,DFND,2930670,0,294100,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,FUSN
GENMARK DIAGNOSTICS INC,COM,372309104,10768,732000,SH,DFND,62200,0,669800,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,GNMK
GILEAD SCIENCES INC,COM,375558103,14788,192200,SH,SOLE,0,0,192200,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,GILD
GLAUKOS CORP,COM,377322102,46527,1211000,SH,SOLE,1211000,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,GKOS
HARPOON THERAPEUTICS INC,COM,41358P106,30473,1835704,SH,DFND,1020704,0,815000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,HARP
HEALTH CATALYST INC,COM,42225T107,5239,179598,SH,SOLE,179598,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,
HERON THERAPEUTICS INC,COM,427746102,9715,660420,SH,SOLE,0,0,660420,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,HRTX
HORIZON THERAPEUTICS PUB LTD,SHS,G46188101,159398,2867910,SH,DFND,357500,0,2510410,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,HZNP
HUMANA INC,COM,444859102,108686,280300,SH,DFND,42300,0,238000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,HUM
IGM BIOSCIENCES INC,COM,449585108,5895,80760,SH,DFND,7460,0,73300,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,IGMS
IMARA INC,COM,45249V107,75151,2719902,SH,DFND,2532402,0,187500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,IMRA
IMMUNOMEDICS INC,COM,452907108,26860,757900,SH,SOLE,0,0,757900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,IMMU
IMMUNOVANT INC,COM,45258J102,8634,354575,SH,DFND,84400,0,270175,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
INFLARX NV,COM,N44821101,3114,678525,SH,DFND,122500,0,556025,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,IFRX
INSPIRE MED SYS INC,COM,457730109,30196,347000,SH,SOLE,347000,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,INSP
INTELLIA THERAPEUTICS INC,COM,45826J105,2882,137100,SH,SOLE,137100,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,NTLA
INTUITIVE SURGICAL INC,COM NEW,46120E602,64277,112800,SH,DFND,18500,0,94300,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ISRG
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,182408,6645100,SH,DFND,1337800,0,5307300,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,IOVA
IQVIA HLDGS INC,COM,46266C105,24829,175000,SH,SOLE,0,0,175000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,IQV
IVERIC BIO INC,COM,46583P102,16575,3250000,SH,DFND,609756,0,2640244,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ISEE
KALA PHARMACEUTICALS INC,COM,483119103,56783,5402730,SH,DFND,4651895,0,750835,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,KALA
KEROS THERAPEUTICS INC,COM,492327101,62995,1679417,SH,DFND,1268734,0,410683,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,KROS
KITOV PHARMA LTD,SPONSORED ADS,49803V107,3843,3461983,SH,SOLE,3461983,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,KTOV
LARIMAR THERAPEUTICS INC,COM,517125100,12001,933960,SH,DFND,201637,0,732323,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,LRMR
LOGICBIO THERAPEUTICS INC,COM,54142F102,54709,6466783,SH,SOLE,6466783,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,LOGC
MEIRAGTX HLDGS PLC,COM,G59665102,46497,3713820,SH,DFND,133500,0,3580320,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,MGTX
MENLO THERAPEUTICS INC,COM,586858102,1027,593883,SH,SOLE,0,0,593883,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,
MERCK  CO. INC,COM,58933Y105,200215,2589100,SH,DFND,382100,0,2207000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,MRK
MERSANA THERAPEUTICS INC,COM,59045L106,44694,1910008,SH,DFND,75500,0,1834508,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,MRSN
MIRATI THERAPEUTICS INC,COM,60468T105,151172,1324100,SH,DFND,195500,0,1128600,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,MRTX
NABRIVA THERAPEUTICS PLC,SHS,G63637105,3133,4644600,SH,SOLE,4644600,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,NBRV
NANOSTRING TECHNOLOGIES INC,COM,63009R109,34997,1192400,SH,DFND,156400,0,1036000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,NSTG
NATERA INC,COM,632307104,161572,3240514,SH,DFND,882714,0,2357800,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,NTRA
NEUROCRINE BIOSCIENCES INC,COM,64125C109,144682,1185915,SH,DFND,137470,0,1048445,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,NBIX
NEXTCURE INC,COM,65343E108,58124,2711013,SH,SOLE,2711013,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,NXTC
NOVO-NORDISK A S,ADR,670100205,21608,330000,SH,SOLE,0,0,330000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,
NOVUS THERAPEUTICS INC,COM,67011N105,1459,3183314,SH,SOLE,3183314,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,
OBSEVA SA,COM,H5861P103,15347,2605531,SH,SOLE,2605531,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,OBSV
ORIC PHARMACEUTICALS INC,COM,68622P109,98558,2921967,SH,DFND,2765717,0,156250,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ORIC
PASSAGE BIO INC,COM,702712100,190296,6962899,SH,DFND,5947323,0,1015576,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,PASG
PREVAIL THERAPEUTICS INC,COM,74140Y101,205955,13822463,SH,SOLE,13822463,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,PRVL
PROGYNY INC,COM,74340E103,8801,341004,SH,DFND,39000,0,302004,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
PROTHENA CORP PLC,SHS,G72800108,37075,3544475,SH,DFND,613800,0,2930675,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,PRTA
REGENERON PHARMACEUTICALS,COM,75886F107,19271,30900,SH,SOLE,0,0,30900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,REGN
REPARE THERAPEUTICS INC,COM,760273102,106285,3426325,SH,DFND,3276325,0,150000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,RPTX
RESTORBIO INC,COM,76133L103,10385,4830387,SH,SOLE,4830387,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,
ROCKET PHARMACEUTICALS INC,COM,77313F106,8004,382400,SH,DFND,65600,0,316800,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,RCKT
SAREPTA THERAPEUTICS INC,COM,803607100,89734,559649,SH,DFND,68000,0,491649,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,SRPT
SCPHARMACEUTICALS INC,COM,810648105,35307,4797148,SH,SOLE,4797148,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,SCPH
SELECTA BIOSCIENCES INC,COM,816212104,5947,2093869,SH,SOLE,2093869,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,SELB
SELECTQUOTE INC,COM,816307300,31789,1255000,SH,DFND,167900,0,1087100,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
SI BONE INC,COM,825704109,22018,1381300,SH,DFND,76000,0,1305300,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,
SIERRA ONCOLOGY INC,COM NEW,82640U404,17876,1477320,SH,DFND,1306860,0,170460,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,SRRA
SINOVAC BIOTECH LTD,SHS,P8696W104,25500,2839500,SH,SOLE,0,0,2839500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,SVA
SPRINGWORKS THERAPEUTICS INC,COM,85205L107,311065,7406307,SH,SOLE,7406307,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,SWTX
SYNDAX PHARMACEUTICALS INC,COM,87164F105,16215,1094100,SH,DFND,78600,0,1015500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,SNDX
SYNLOGIC INC,COM,87166L100,4121,2029996,SH,SOLE,2029996,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,SYBX
TELA BIO INC,COM,872381108,39237,3027542,SH,SOLE,3027542,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,TELA
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,23861,1935200,SH,DFND,269500,0,1665700,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,TEVA
THERAVANCE BIOPHARMA INC,COM,G8807B106,53618,2554470,SH,DFND,244054,0,2310416,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,TBPH
THERMO FISHER SCIENTIFIC INC,COM,883556102,39966,110300,SH,DFND,16800,0,93500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,TMO
TRICIDA INC,COM,89610F101,264200,9614280,SH,SOLE,9614280,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,TCDA
TRILLIUM THERAPEUTICS INC,COM NEW,89620X506,9797,1211000,SH,DFND,391800,0,819200,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,TRIL
TURNING POINT THERAPEUTICS I,COM,90041T108,177321,2745327,SH,DFND,2027550,0,717777,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,TPTX
UNIQURE NV,SHS,N90064101,43667,969079,SH,DFND,138100,0,830979,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,QURE
VAXCYTE INC,COM,92243G108,26869,850000,SH,SOLE,0,0,850000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,PCVX
VERONA PHARMA PLC,SPONSORED ADS,925050106,5852,1250396,SH,SOLE,1250396,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,VRNA
VERRICA PHARMACEUTICALS INC,COM,92511W108,16292,1479733,SH,SOLE,1479733,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,VRCA
VERTEX PHARMACEUTICALS INC,COM,92532F100,193375,666100,SH,DFND,113100,0,553000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,VRTX
X4 PHARMACEUTICALS INC,COM,98420X103,10126,1086493,SH,SOLE,1086493,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,XFOR
XENON PHARMACEUTICALS INC,COM,98420N105,31324,2497917,SH,DFND,786612,0,1711305,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,XENE
XTANT MED HLDGS INC,COM NEW,98420P308,8324,9248678,SH,SOLE,9248678,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,XTNT
ZYMEWORKS INC,COM,98985W102,21004,582302,SH,DFND,15300,0,567002,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ZYME
