nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
MYOVANT SCIENCES LTD,COM,G637AM102,4953,656000,SH,SOLE,656000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,MYOV
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,15932,1400000,SH,SOLE,1400000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,NLTX
OCULAR THERAPEUTIX INC,COM,67576A100,25356,5122500,SH,SOLE,5122500,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,OCUL
OCULAR THERAPEUTIX INC,CALL,67576A900,53,1000,SH,SOLE,0,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,Call,
ODONATE THERAPEUTICS INC,COM,676079106,9940,360000,SH,SOLE,360000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,ODT
PROVENTION BIO INC,COM,74374N102,1527,166000,SH,SOLE,166000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,PRVB
RADIUS HEALTH INC,COM NEW,750469207,2171,167000,SH,SOLE,167000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,RDUS
SELECTA BIOSCIENCES INC,COM,816212104,940,390000,SH,SOLE,390000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,SELB
STEREOTAXIS INC,COM NEW,85916J409,11662,3861500,SH,SOLE,3861500,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,STXS
TELA BIO INC,COM,872381108,633,81000,SH,SOLE,81000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,TELA
TG THERAPEUTICS INC,COM,88322Q108,4851,493000,SH,SOLE,493000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,TGTX
TRICIDA INC,COM,89610F101,4268,194000,SH,SOLE,194000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,TCDA
UNIQURE NV,SHS,N90064101,9965,210000,SH,SOLE,210000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,QURE
VERASTEM INC,COM,92337C104,3865,1463900,SH,SOLE,1463900,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,VSTM
XOMA CORP DEL,COM NEW,98419J206,7875,387000,SH,SOLE,387000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,XOMA
ZYMEWORKS INC,COM,98985W102,4718,133000,SH,SOLE,133000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,ZYME
