nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,othermanager,ticker
Nucana Biomed Ltd,ADR,67022C106,13215,2266666,SH,SOLE,2266666,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,NCNA
Nucana Biomed Ltd,Ordinary Shares,GB00BYWYV,13992,2400000,SH,SOLE,2400000,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,
ObsEva SA,COMM,H5861P103,11447,4749623,SH,SOLE,4749623,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,OBSV
PDS Biotechnology Corporation,COMM,70465T107,104,142635,SH,SOLE,142635,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,PDSB
Principia Biopharma,COMM,74257L108,84157,1417258,SH,SOLE,1417258,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,
Synlogic Inc.,COMM,87166L100,989,574972,SH,SOLE,574972,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,SYBX
"Y-mAbs Therapeutics, Inc",COMM,984241109,57271,2194278,SH,SOLE,2194278,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,YMAB
Abbvie Inc,COMM,00287Y109,1062,13933,SH,SOLE,13933,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ABBV
Acceleron Pharma Inc,COMM,00434H108,4158,46266,SH,SOLE,46266,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,XLRN
Akero Therapeutics Inc,COMM,00973Y958,888,41900,SH,SOLE,41900,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Put,,
Akero Therapeutics Inc,COMM,00973Y108,880,41500,SH,SOLE,41500,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,AKRO
Alexion Pharmaceuticals Inc,COMM,015351109,9613,107066,SH,SOLE,107066,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ALXN
Align Technology Inc,COMM,016255101,2578,14820,SH,SOLE,14820,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ALGN
Alnylam Pharmaceuticals Inc,COMM,02043Q907,838,7700,SH,SOLE,7700,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,,
Amicus Therapeutics Inc,COMM,03152W109,1969,213091,SH,SOLE,213091,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,FOLD
Applied Genetic Technologies Corp,COMM,03820J100,969,295478,SH,SOLE,295478,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,AGTC
Axsome Therapeutics Inc,COMM,05464T104,1498,25468,SH,SOLE,25468,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,AXSM
BioCryst Pharmaceuticals Inc,COMM,09058V103,456,228136,SH,SOLE,228136,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,BCRX
Biogen Inc,COMM,09062X103,6003,18975,SH,SOLE,18975,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,BIIB
Biomarin Pharmaceutical Inc,COMM,09061G101,7605,89996,SH,SOLE,89996,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,BMRN
Blueprint Medicines Corp,COMM,09627Y109,1265,21639,SH,SOLE,21639,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,BPMC
Calithera Biosciences Inc,COMM,13089P101,1017,228957,SH,SOLE,228957,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,CALA
ChemoCentryx Inc,COMM,16383L106,912,22698,SH,SOLE,22698,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,CCXI
Compugen Ltd,COMM,M25722105,605,83310,SH,SOLE,83310,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,CGEN
Fate Therapeutics Inc,COMM,31189P102,232,10457,SH,SOLE,10457,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,FATE
Gilead Sciences Inc,COMM,375558903,2564,34300,SH,SOLE,34300,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,,
Heron Therapeutics Inc,COMM,427746102,1577,134337,SH,SOLE,134337,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,HRTX
Homology Medicines Inc,COMM,438083107,994,63975,SH,SOLE,63975,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,FIXX
Intra-Cellular Therapies Inc,COMM,46116X101,223,14522,SH,SOLE,14522,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,
Iovance Biotherapeutics Inc,COMM,462260900,1539,51400,SH,SOLE,51400,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,,
Kadmon Holdings Inc,COMM,48283N106,1781,424982,SH,SOLE,424982,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,KDMN
Kala Pharmaceuticals Inc,COMM,483119103,2723,309777,SH,SOLE,309777,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,KALA
Kala Pharmaceuticals Inc,COMM,483119953,1813,206300,SH,SOLE,206300,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Put,,
Menlo Therapeutics Inc,COMM,586858102,453,169035,SH,SOLE,169035,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,
Merck  Co Inc,COMM,58933Y105,13625,177080,SH,SOLE,177080,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,MRK
Mersana Therapeutics Inc,COMM,59045L106,450,77148,SH,SOLE,77148,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,MRSN
Mirum Pharmaceuticals Inc,COMM,604749101,1635,116765,SH,SOLE,116765,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,MIRM
MyoKardia Inc,COMM,62857M105,2758,58840,SH,SOLE,58840,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,MYOK
Otonomy Inc,COMM,68906L105,922,467940,SH,SOLE,467940,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,OTIC
PTC Therapeutics Inc,COMM,69366J200,4232,94871,SH,SOLE,94871,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,PTCT
PTC Therapeutics Inc,COMM,69366J900,620,13900,SH,SOLE,13900,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,,
Puma Biotechnology Inc,COMM,74587V107,1498,177526,SH,SOLE,177526,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,PBYI
Rigel Pharmaceuticals Inc,COMM,766559603,631,404192,SH,SOLE,404192,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,RIGL
SAGE Therapeutics Inc,COMM,78667J108,805,28016,SH,SOLE,28016,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,SAGE
Sarepta Therapeutics Inc,COMM,803607100,3132,32022,SH,SOLE,32022,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,SRPT
TG Therapeutics Inc,COMM,88322Q108,836,84948,SH,SOLE,84948,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,TGTX
United Therapeutics Corp,COMM,91307C102,7635,80519,SH,SOLE,80519,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,UTHR
Vertex Pharmaceuticals Inc,COMM,92532F100,7034,29560,SH,SOLE,29560,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,VRTX
Zogenix Inc,COMM,98978L204,227,9174,SH,SOLE,9174,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ZGNX
Zymeworks Inc,COMM,98985W102,496,13975,SH,SOLE,13975,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ZYME
Abbvie Inc,COMM,00287Y109,629,8257,SH,OTR,8257,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,ABBV
Acceleron Pharma Inc,COMM,00434H108,2477,27564,SH,OTR,27564,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,XLRN
Akero Therapeutics Inc,COMM,00973Y958,532,25100,SH,OTR,25100,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Put,1,
Akero Therapeutics Inc,COMM,00973Y108,526,24827,SH,OTR,24827,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,AKRO
Alexion Pharmaceuticals Inc,COMM,015351109,5698,63455,SH,OTR,63455,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,ALXN
Align Technology Inc,COMM,016255101,1527,8776,SH,OTR,8776,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,ALGN
Alnylam Pharmaceuticals Inc,COMM,02043Q907,522,4800,SH,OTR,4800,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,1,
Amicus Therapeutics Inc,COMM,03152W109,1167,126297,SH,OTR,126297,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,FOLD
Applied Genetic Technologies Corp,COMM,03820J100,576,175613,SH,OTR,175613,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,AGTC
Axsome Therapeutics Inc,COMM,05464T104,889,15114,SH,OTR,15114,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,AXSM
BioCryst Pharmaceuticals Inc,COMM,09058V103,273,136250,SH,OTR,136250,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,BCRX
Biogen Inc,COMM,09062X103,3568,11279,SH,OTR,11279,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,BIIB
Biomarin Pharmaceutical Inc,COMM,09061G101,4521,53501,SH,OTR,53501,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,BMRN
Blueprint Medicines Corp,COMM,09627Y109,750,12826,SH,OTR,12826,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,BPMC
Calithera Biosciences Inc,COMM,13089P101,602,135696,SH,OTR,135696,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,CALA
ChemoCentryx Inc,COMM,16383L106,541,13455,SH,OTR,13455,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,CCXI
Compugen Ltd,COMM,M25722105,359,49517,SH,OTR,49517,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,CGEN
Fate Therapeutics Inc,COMM,31189P102,143,6442,SH,OTR,6442,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,FATE
Gilead Sciences Inc,COMM,375558903,1525,20400,SH,OTR,20400,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,1,
Heron Therapeutics Inc,COMM,427746102,943,80335,SH,OTR,80335,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,HRTX
Homology Medicines Inc,COMM,438083107,589,37915,SH,OTR,37915,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,FIXX
Intra-Cellular Therapies Inc,COMM,46116X101,134,8691,SH,OTR,8691,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,
Iovance Biotherapeutics Inc,COMM,462260900,913,30500,SH,OTR,30500,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,1,
Kadmon Holdings Inc,COMM,48283N106,1059,252855,SH,OTR,252855,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,KDMN
Kala Pharmaceuticals Inc,COMM,483119103,1618,184119,SH,OTR,184119,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,KALA
Kala Pharmaceuticals Inc,COMM,483119953,1082,123100,SH,OTR,123100,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Put,1,
Menlo Therapeutics Inc,COMM,586858102,273,101689,SH,OTR,101689,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,
Merck  Co Inc,COMM,58933Y105,8075,104951,SH,OTR,104951,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,MRK
Mersana Therapeutics Inc,COMM,59045L106,267,45824,SH,OTR,45824,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,MRSN
Mirum Pharmaceuticals Inc,COMM,604749101,967,69083,SH,OTR,69083,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,MIRM
MyoKardia Inc,COMM,62857M105,1638,34949,SH,OTR,34949,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,MYOK
Otonomy Inc,COMM,68906L105,559,283853,SH,OTR,283853,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,OTIC
PTC Therapeutics Inc,COMM,69366J200,2508,56228,SH,OTR,56228,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,PTCT
PTC Therapeutics Inc,COMM,69366J900,370,8300,SH,OTR,8300,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,1,
Puma Biotechnology Inc,COMM,74587V107,891,105527,SH,OTR,105527,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,PBYI
Rigel Pharmaceuticals Inc,COMM,766559603,377,241736,SH,OTR,241736,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,RIGL
SAGE Therapeutics Inc,COMM,78667J108,477,16601,SH,OTR,16601,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,SAGE
Sarepta Therapeutics Inc,COMM,803607100,1856,18977,SH,OTR,18977,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,SRPT
TG Therapeutics Inc,COMM,88322Q108,495,50347,SH,OTR,50347,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,TGTX
United Therapeutics Corp,COMM,91307C102,4524,47712,SH,OTR,47712,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,UTHR
Vertex Pharmaceuticals Inc,COMM,92532F100,4169,17519,SH,OTR,17519,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,VRTX
Zogenix Inc,COMM,98978L204,135,5451,SH,OTR,5451,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,ZGNX
Zymeworks Inc,COMM,98985W102,294,8282,SH,OTR,8282,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,1,ZYME
Abbvie Inc,COMM,00287Y109,2119,27810,SH,OTR,27810,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,ABBV
Acceleron Pharma Inc,COMM,00434H108,8208,91330,SH,OTR,91330,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,XLRN
Akero Therapeutics Inc,COMM,00973Y958,1760,83000,SH,OTR,83000,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Put,2,
Akero Therapeutics Inc,COMM,00973Y108,1740,82088,SH,OTR,82088,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,AKRO
Alexion Pharmaceuticals Inc,COMM,015351109,12281,136779,SH,OTR,136779,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,ALXN
Align Technology Inc,COMM,016255101,3984,22904,SH,OTR,22904,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,ALGN
Alnylam Pharmaceuticals Inc,COMM,02043Q907,1589,14600,SH,OTR,14600,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,2,
Amicus Therapeutics Inc,COMM,03152W109,1720,186142,SH,OTR,186142,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,FOLD
Applied Genetic Technologies Corp,COMM,03820J100,1940,591524,SH,OTR,591524,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,AGTC
Axsome Therapeutics Inc,COMM,05464T104,1917,32581,SH,OTR,32581,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,AXSM
BioCryst Pharmaceuticals Inc,COMM,09058V103,903,451304,SH,OTR,451304,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,BCRX
Biogen Inc,COMM,09062X103,7079,22374,SH,OTR,22374,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,BIIB
Biomarin Pharmaceutical Inc,COMM,09061G101,8158,96549,SH,OTR,96549,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,BMRN
Blueprint Medicines Corp,COMM,09627Y109,1675,28635,SH,OTR,28635,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,BPMC
Calithera Biosciences Inc,COMM,13089P101,2017,454349,SH,OTR,454349,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,CALA
ChemoCentryx Inc,COMM,16383L106,1227,30542,SH,OTR,30542,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,CCXI
Compugen Ltd,COMM,M25722105,1214,167173,SH,OTR,167173,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,CGEN
Fate Therapeutics Inc,COMM,31189P102,437,19665,SH,OTR,19665,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,FATE
Gilead Sciences Inc,COMM,375558903,3387,45300,SH,OTR,45300,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,2,
Heron Therapeutics Inc,COMM,427746102,3134,266936,SH,OTR,266936,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,HRTX
Homology Medicines Inc,COMM,438083107,2001,128773,SH,OTR,128773,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,FIXX
Intra-Cellular Therapies Inc,COMM,46116X101,443,28792,SH,OTR,28792,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,
Iovance Biotherapeutics Inc,COMM,462260900,2039,68100,SH,OTR,68100,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,2,
Kadmon Holdings Inc,COMM,48283N106,3555,848341,SH,OTR,848341,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,KDMN
Kala Pharmaceuticals Inc,COMM,483119103,5455,620624,SH,OTR,620624,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,KALA
Kala Pharmaceuticals Inc,COMM,483119953,3585,407900,SH,OTR,407900,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Put,2,
Menlo Therapeutics Inc,COMM,586858102,895,334105,SH,OTR,334105,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,
Merck  Co Inc,COMM,58933Y105,13985,181764,SH,OTR,181764,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,MRK
Mersana Therapeutics Inc,COMM,59045L106,595,102028,SH,OTR,102028,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,MRSN
Mirum Pharmaceuticals Inc,COMM,604749101,3258,232741,SH,OTR,232741,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,MIRM
MyoKardia Inc,COMM,62857M105,3813,81329,SH,OTR,81329,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,MYOK
Otonomy Inc,COMM,68906L105,1505,763836,SH,OTR,763836,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,OTIC
PTC Therapeutics Inc,COMM,69366J200,6295,141118,SH,OTR,141118,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,PTCT
PTC Therapeutics Inc,COMM,69366J900,1240,27800,SH,OTR,27800,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,Call,2,
Puma Biotechnology Inc,COMM,74587V107,2996,354973,SH,OTR,354973,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,PBYI
Rigel Pharmaceuticals Inc,COMM,766559603,1249,800390,SH,OTR,800390,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,RIGL
SAGE Therapeutics Inc,COMM,78667J108,856,29813,SH,OTR,29813,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,SAGE
Sarepta Therapeutics Inc,COMM,803607100,4950,50604,SH,OTR,50604,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,SRPT
TG Therapeutics Inc,COMM,88322Q108,1378,140010,SH,OTR,140010,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,TGTX
United Therapeutics Corp,COMM,91307C102,9988,105328,SH,OTR,105328,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,UTHR
Vertex Pharmaceuticals Inc,COMM,92532F100,9181,38585,SH,OTR,38585,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,VRTX
Zogenix Inc,COMM,98978L204,454,18358,SH,OTR,18358,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,2,ZGNX
