ticker,company_name,NASDAQ_sector,cusip,13F_name,cusip8,cik
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),Healthcare,874060205,TAKEDA PHARMACEUTICAL CO LTD,87406020,1395064.0
BAYRY,Bayer AG ADR,Healthcare,,,nan,
LZAGY,Lonza Group AG ADR,Healthcare,,,nan,
ILMN,Illumina Inc. Common Stock,Healthcare,452327109,ILLUMINA INC,45232710,1020066.0
HCA,HCA Healthcare Inc. Common Stock,Healthcare,40412C101,HCA HEALTHCARE INC,40412C10,860730.0
SEMHF,Siemens Healthineers AG Registered Shares,Healthcare,,,nan,
PHG,Koninklijke Philips N.V. NY Registry Shares,Healthcare,500472303,KONINKLIJKE PHILIPS N V,50047230,313216.0
HOCPY,Hoya Corporation ADR,Healthcare,,,nan,
HOCPF,Hoya Corporation,Healthcare,,,nan,
BIIB,Biogen Inc. Common Stock,Healthcare,09062X103,BIOGEN INC,09062X10,714655.0
BAX,Baxter International Inc. Common Stock,Healthcare,071813109,BAXTER INTL INC,07181310,10456.0
CNC,Centene Corporation Common Stock,Healthcare,15135B101,CENTENE CORP DEL,15135B10,1071739.0
DXCM,DexCom Inc. Common Stock,Healthcare,252131107,DEXCOM INC,25213110,1093557.0
IDXX,IDEXX Laboratories Inc. Common Stock,Healthcare,45168D104,IDEXX LABS INC,45168D10,1569205.0
ALGN,Align Technology Inc. Common Stock,Healthcare,016255101,ALIGN TECHNOLOGY INC,01625510,1097149.0
WXIBF,Wuxi Biologics (Cayman) Inc.,Healthcare,,,nan,
SGEN,Seagen Inc. Common Stock,Healthcare,,,nan,
A,Agilent Technologies Inc. Common Stock,Healthcare,00846U101,AGILENT TECHNOLOGIES INC,00846U10,47217.0
IQV,IQVIA Holdings Inc. Common Stock,Healthcare,46266C105,IQVIA HLDGS INC,46266C10,1478242.0
ZBH,Zimmer Biomet Holdings Inc. Common Stock,Healthcare,98956P102,ZIMMER BIOMET HOLDINGS INC,98956P10,1136869.0
ALC,Alcon Inc. Ordinary Shares,Healthcare,H01301128,ALCON AG,H0130112,1167379.0
TRUMF,Terumo Corporation,Healthcare,,,nan,
MRNA,Moderna Inc. Common Stock,Healthcare,60770K107,MODERNA INC,60770K10,1682852.0
BGNE,BeiGene Ltd. American Depositary Shares,Healthcare,07725L102,BEIGENE LTD,07725L10,1651308.0
ALXN,Alexion Pharmaceuticals Inc. Common Stock,Healthcare,015351109,ALEXION PHARMACEUTICALS INC,01535110,1018154.0
ALPMF,Astellas Pharma Inc.,Healthcare,,,nan,
RMD,ResMed Inc. Common Stock,Healthcare,761152107,RESMED INC,76115210,943819.0
ESALF,Eisai Co Ltd,Healthcare,,,nan,
OCPNY,Olympus Corp. ADR,Healthcare,,,nan,
FMS,Fresenius Medical Care AG Common Stock,Healthcare,358029106,FRESENIUS MED CARE AG&CO KGA,35802910,1333141.0
MCK,McKesson Corporation Common Stock,Healthcare,58155Q103,MCKESSON CORP,58155Q10,1039362.0
MTD,Mettler-Toledo International Inc. Common Stock,Healthcare,,,nan,
OCPNF,Olympus Corp.,Healthcare,,,nan,
CHJTF,CSPC Pharmaceutical Group Limited.,Healthcare,,,nan,
RPRX,Royalty Pharma plc Class A Ordinary Shares ,Healthcare,G7709Q104,ROYALTY PHARMA PLC,G7709Q10,
ESALY,Eisai Co Ltd ADR,Healthcare,,,nan,
GMAB,Genmab A/S ADS,Healthcare,372303206,GENMAB A/S,37230320,
OTSKF,Otsuka Holdings Co.Ltd.,Healthcare,,,nan,
FSNUY,Fresenius SE & Co. KGaA ADR,Healthcare,358029106,FRESENIUS MED CARE AG&CO KGA,35802910,1333141.0
WST,West Pharmaceutical Services Inc. Common Stock,Healthcare,955306105,WEST PHARMACEUTICAL SVSC INC,95530610,105770.0
BNTX,BioNTech SE American Depositary Share,Healthcare,09075V102,BIONTECH SE,09075V10,1776985.0
UCBJY,UCB SA ADR,Healthcare,,,nan,
OTSKY,Otsuka Holdings Co.Ltd. ADR,Healthcare,,,nan,
ABC,AmerisourceBergen Corporation Common Stock,Healthcare,03073E105,AMERISOURCEBERGEN CORP,03073E10,1140859.0
IMMU,Immunomedics Inc. Common Stock,Healthcare,452907108,IMMUNOMEDICS INC,45290710,722830.0
SBMFF,Sino Biopharmaceutical Ltd.,Healthcare,82935V109,SINO GLOBAL SHIPPING AMER LT,82935V10,1422892.0
INCY,Incyte Corp. Common Stock,Healthcare,45337C102,INCYTE CORP,45337C10,879169.0
LH,Laboratory Corporation of America Holdings Common Stock,Healthcare,50540R409,LABORATORY CORP AMER HLDGS,50540R40,920148.0
COO,The Cooper Companies Inc. Common Stock,Healthcare,,,nan,
TDOC,Teladoc Health Inc. Common Stock,Healthcare,87918A105,TELADOC HEALTH INC,87918A10,1477449.0
NVZMY,Novozymes AS ADR,Healthcare,,,nan,
SSMXF,Sysmex Corporation,Healthcare,,,nan,
TPGVF,Top Glove Corporation Bhd,Healthcare,Y8897Y164,TOP SHIPS INC,Y8897Y16,1296484.0
TGLVY,Top Glove Corporation Bhd ADR,Healthcare,Y8897Y164,TOP SHIPS INC,Y8897Y16,1296484.0
SNN,Smith & Nephew SNATS Inc. Common Stock,Healthcare,83175M205,SMITH & NEPHEW GROUP PLC,83175M20,
HOLX,Hologic Inc. Common Stock,Healthcare,436440101,HOLOGIC INC,43644010,822818.0
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,Healthcare,G46188101,HORIZON THERAPEUTICS PUB LTD,G4618810,1492426.0
TFX,Teleflex Incorporated Common Stock,Healthcare,879369106,TELEFLEX INCORPORATED,87936910,96943.0
SONVY,Sonova Holding AG ADR,Healthcare,,,nan,
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Healthcare,,,nan,
AHICF,Asahi Intecc Co. Ltd.,Healthcare,,,nan,
TXG,10x Genomics Inc. Class A Common Stock,Healthcare,88025U109,10X GENOMICS INC,88025U10,1770787.0
DGX,Quest Diagnostics Incorporated Common Stock,Healthcare,74834L100,QUEST DIAGNOSTICS INC,74834L10,1022079.0
PODD,Insulet Corporation Common Stock,Healthcare,45784P101,INSULET CORP,45784P10,315449.0
EXAS,Exact Sciences Corporation Common Stock,Healthcare,30063P105,EXACT SCIENCES CORP,30063P10,1389958.0
STE,STERIS plc (Ireland) Ordinary Shares,Healthcare,G8473T100,STERIS PLC,G8473T10,1757898.0
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Healthcare,02043Q107,ALNYLAM PHARMACEUTICALS INC,02043Q10,890491.0
VAR,Varian Medical Systems Inc. Common Stock,Healthcare,92220P105,VARIAN MED SYS INC,92220P10,203527.0
OPHLF,Ono Pharmaceutical Co. Ltd,Healthcare,,,nan,
CTLT,Catalent Inc. Common Stock,Healthcare,148806102,CATALENT INC,14880610,1596783.0
PANHF,Ping An Healthcare And Technology Company Limited,Healthcare,72341T103,PING IDENTITY HLDG CORP,72341T10,1679826.0
SGIOF,Shionogi & Co. Ltd.,Healthcare,,,nan,
CAH,Cardinal Health Inc. Common Stock,Healthcare,14149Y108,CARDINAL HEALTH INC,14149Y10,721371.0
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Healthcare,09061G101,BIOMARIN PHARMACEUTICAL INC,09061G10,1048477.0
KYKOF,Kyowa Kirin Co. Ltd.,Healthcare,,,nan,
PKI,PerkinElmer Inc. Common Stock,Healthcare,714046109,PERKINELMER INC,71404610,1224747.0
FSPKF,Fisher & Paykel Healthcare Corporation Limited,Healthcare,,,nan,
MASI,Masimo Corporation Common Stock,Healthcare,574795100,MASIMO CORP,57479510,937556.0
NVCR,NovoCure Limited Ordinary Shares,Healthcare,G6674U108,NOVOCURE LTD,G6674U10,1645113.0
WAT,Waters Corporation Common Stock,Healthcare,941848103,WATERS CORP,94184810,930809.0
OSH,Oak Street Health Inc. Common Stock,Healthcare,671807105,OAK VALLEY BANCORP OAKDALE C,67180710,1431567.0
ABMD,ABIOMED Inc. Common Stock,Healthcare,003654100,ABIOMED INC,00365410,933974.0
MOH,Molina Healthcare Inc Common Stock,Healthcare,60855R100,MOLINA HEALTHCARE INC,60855R10,1179929.0
GRFS,Grifols S.A. American Depositary Shares,Healthcare,398438408,GRIFOLS S A,39843840,1438569.0
SKHHY,Sonic Healthcare ADR,Healthcare,83545G102,SONIC AUTOMOTIVE INC,83545G10,1043509.0
QGEN,Qiagen N.V. Common Shares ,Healthcare,N72482123,QIAGEN NV,N7248212,1015820.0
ARGX,argenx SE American Depositary Shares,Healthcare,04016X101,ARGENX SE,04016X10,1697862.0
IVBXF,Innovent Biologics Inc,Healthcare,,,nan,
MYOK,MyoKardia Inc. Common Stock,Healthcare,62857M105,MYOKARDIA INC,62857M10,1552451.0
SFOSF,Shanghai Fosun Pharmaceutical (Group) Co. Ltd. - Class H,Healthcare,,,nan,
RDY,Dr. Reddy's Laboratories Ltd Common Stock,Healthcare,256135203,DR REDDYS LABS LTD,25613520,1135951.0
SHWGF,Shandong Weigao Group Medical Polymer Co. Ltd. - Class H,Healthcare,,,nan,
DVA,DaVita Inc. Common Stock,Healthcare,23918K108,DAVITA INC,23918K10,927066.0
RMSYF,Ramsay Health Care,Healthcare,,,nan,
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),Healthcare,803607100,SAREPTA THERAPEUTICS INC,80360710,873303.0
IHHHF,IHH Healthcare Bhd,Healthcare,,,nan,
XRAY,DENTSPLY SIRONA Inc. Common Stock,Healthcare,24906P109,DENTSPLY SIRONA INC,24906P10,818479.0
QDEL,Quidel Corporation Common Stock,Healthcare,74838J101,QUIDEL CORP,74838J10,353569.0
GH,Guardant Health Inc. Common Stock,Healthcare,40131M109,GUARDANT HEALTH INC,40131M10,1576280.0
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,Healthcare,881624209,TEVA PHARMACEUTICAL INDS LTD,88162420,818686.0
ICLR,ICON plc Ordinary Shares,Healthcare,G4705A100,ICON PLC,G4705A10,1060955.0
TECH,Bio-Techne Corp Common Stock,Healthcare,09073M104,BIO-TECHNE CORP,09073M10,842023.0
UHS,Universal Health Services Inc. Common Stock,Healthcare,91359E105,UNIVERSAL HEALTH RLTY INCM T,91359E10,798783.0
NBIX,Neurocrine Biosciences Inc. Common Stock,Healthcare,64125C109,NEUROCRINE BIOSCIENCES INC,64125C10,914475.0
CHEOF,Cochlear Ltd.,Healthcare,,,nan,
RGEN,Repligen Corporation Common Stock,Healthcare,759916109,REPLIGEN CORP,75991610,730272.0
HSIC,Henry Schein Inc. Common Stock,Healthcare,806407102,HENRY SCHEIN INC,80640710,1000228.0
CVAC,CureVac N.V. Ordinary Shares,Healthcare,,,nan,
ASND,Ascendis Pharma A/S American Depositary Shares,Healthcare,04351P101,ASCENDIS PHARMA A S,04351P10,1709626.0
NVTA,Invitae Corporation Common Stock,Healthcare,46185L103,INVITAE CORP,46185L10,1501134.0
GLPG,Galapagos NV American Depositary Shares,Healthcare,36315X101,GALAPAGOS NV,36315X10,1421876.0
MRTX,Mirati Therapeutics Inc. Common Stock,Healthcare,60468T105,MIRATI THERAPEUTICS INC,60468T10,1576263.0
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),Healthcare,G50871105,JAZZ PHARMACEUTICALS PLC,G5087110,1232524.0
SNPHF,Santen Pharmaceutical Co. Ltd.,Healthcare,,,nan,
AMED,Amedisys Inc Common Stock,Healthcare,023436108,AMEDISYS INC,02343610,896262.0
HKMPY,Hikma Pharmaceuticals Plc ADR,Healthcare,,,nan,
CHE,Chemed Corp,Healthcare,16359R103,CHEMED CORP NEW,16359R10,19584.0
MYL,Mylan N.V. Ordinary Shares,Healthcare,N59465109,MYLAN NV,N5946510,1623613.0
SNPHY,Santen Pharmaceutical Co. Ltd. ADR,Healthcare,,,nan,
WILYY,Demant AS ADR,Healthcare,,,nan,
PEN,Penumbra Inc. Common Stock,Healthcare,70975L107,PENUMBRA INC,70975L10,1321732.0
AMBFF,Ambu AS - Class B,Healthcare,,,nan,
WILLF,Demant AS,Healthcare,,,nan,
MCRPF,MicroPort Scientific Corporation - Class H,Healthcare,,,nan,
STDAF,Stada Arzneimittel AG Registered Shares,Healthcare,,,nan,
TNDM,Tandem Diabetes Care Inc. Common Stock,Healthcare,875372203,TANDEM DIABETES CARE INC,87537220,1444307.0
LHCG,LHC Group Common Stock,Healthcare,50187A107,LHC GROUP INC,50187A10,1166036.0
EHC,Encompass Health Corporation Common Stock,Healthcare,29261A100,ENCOMPASS HEALTH CORP,29261A10,785161.0
EXEL,Exelixis Inc. Common Stock,Healthcare,30161Q104,EXELIXIS INC,30161Q10,939767.0
XLRN,Acceleron Pharma Inc. Common Stock,Healthcare,00434H108,ACCELERON PHARMA INC,00434H10,1280600.0
IONS,Ionis Pharmaceuticals Inc. Common Stock,Healthcare,462222100,IONIS PHARMACEUTICALS INC,46222210,874015.0
ZLAB,Zai Lab Limited American Depositary Shares,Healthcare,98887Q104,ZAI LAB LTD,98887Q10,1704292.0
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Healthcare,004225108,ACADIA PHARMACEUTICALS INC,00422510,1107601.0
CRSP,CRISPR Therapeutics AG Common Shares,Healthcare,H17182108,CRISPR THERAPEUTICS AG,H1718210,1674416.0
PRGO,Perrigo Company plc Ordinary Shares,Healthcare,G97822103,PERRIGO CO PLC,G9782210,1585364.0
HLF,Herbalife Nutrition Ltd. Common Stock,Healthcare,G4412G101,HERBALIFE NUTRITION LTD,G4412G10,1180262.0
BRKR,Bruker Corporation Common Stock,Healthcare,116794108,BRUKER CORP,11679410,1109354.0
IRTC,iRhythm Technologies Inc. Common Stock,Healthcare,450056106,IRHYTHM TECHNOLOGIES INC,45005610,1388658.0
SHTDF,Sinopharm Group Co Ltd,Healthcare,,,nan,
HLUYY,H. Lundbeck AS ADR,Healthcare,404030108,H & E EQUIPMENT SERVICES INC,40403010,1339605.0
TCHBF,Tecan Group AG,Healthcare,,,nan,
SHTDY,Sinopharm Group Co Ltd ADR,Healthcare,,,nan,
CAKFF,McKesson Europe AG Registered Shares,Healthcare,58155Q103,MCKESSON CORP,58155Q10,1039362.0
BHC,Bausch Health Companies Inc. Common Stock,Healthcare,071734107,BAUSCH HEALTH COS INC,07173410,
SYNH,Syneos Health Inc. Class A Common Stock,Healthcare,87166B102,SYNEOS HEALTH INC,87166B10,1610950.0
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,Healthcare,04280A100,ARROWHEAD PHARMACEUTICALS IN,04280A10,879407.0
NTRA,Natera Inc. Common Stock,Healthcare,632307104,NATERA INC,63230710,1604821.0
HRC,Hill-Rom Holdings Inc Common Stock,Healthcare,,,nan,
GNGBY,Getinge AB ADR,Healthcare,,,nan,
BPMC,Blueprint Medicines Corporation Common Stock,Healthcare,09627Y109,BLUEPRINT MEDICINES CORP,09627Y10,1597264.0
PPTDF,PeptiDream Inc.,Healthcare,,,nan,
NVAX,Novavax Inc. Common Stock,Healthcare,670002401,NOVAVAX INC,67000240,1000694.0
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,Healthcare,90400D108,ULTRAGENYX PHARMACEUTICAL IN,90400D10,1515673.0
IOVA,Iovance Biotherapeutics Inc. Common Stock,Healthcare,462260100,IOVANCE BIOTHERAPEUTICS INC,46226010,1425205.0
UTHR,United Therapeutics Corporation Common Stock,Healthcare,91307C102,UNITED THERAPEUTICS CORP DEL,91307C10,1082554.0
GMED,Globus Medical Inc. Class A Common Stock,Healthcare,,,nan,
EBS,Emergent Biosolutions Inc. Common Stock,Healthcare,29089Q105,EMERGENT BIOSOLUTIONS INC,29089Q10,1367644.0
NVRO,Nevro Corp. Common Stock,Healthcare,64157F103,NEVRO CORP,64157F10,1444380.0
TAISF,Taisho Pharmaceutical Holdings Co. Ltd.,Healthcare,,,nan,
DNPUF,Sumitomo Dainippon Pharma Co. Ltd,Healthcare,86562M209,SUMITOMO MITSUI FINL GROUP I,86562M20,1022837.0
KBYPF,Kobayashi Pharmaceutical Co. Ltd,Healthcare,,,nan,
EKTAY,Elekta AB ADR,Healthcare,,,nan,
DNLI,Denali Therapeutics Inc. Common Stock,Healthcare,24823R105,DENALI THERAPEUTICS INC,24823R10,1714899.0
ALLO,Allogene Therapeutics Inc. Common Stock,Healthcare,019770106,ALLOGENE THERAPEUTICS INC,01977010,1737287.0
BBIO,BridgeBio Pharma Inc. Common Stock,Healthcare,10806X102,BRIDGEBIO PHARMA INC,10806X10,1743881.0
PTKFY,Kalbe Farma Tbk ADR,Healthcare,,,nan,
HAE,Haemonetics Corporation Common Stock,Healthcare,405024100,HAEMONETICS CORP,40502410,313143.0
NEO,NeoGenomics Inc. Common Stock,Healthcare,64049M209,NEOGENOMICS INC,64049M20,1077183.0
ARNA,Arena Pharmaceuticals Inc. Common Stock,Healthcare,040047607,ARENA PHARMACEUTICALS INC,04004760,1080709.0
PTKFF,Kalbe Farma Tbk,Healthcare,,,nan,
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,Healthcare,G11196105,BIOHAVEN PHARMACTL HLDG CO L,G1119610,1689813.0
GZPHF,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited - Class H,Healthcare,,,nan,
SHPMF,Shanghai Pharmaceuticals Holding Co. Ltd. - Class H,Healthcare,,,nan,
ALLK,Allakos Inc. Common Stock,Healthcare,01671P100,ALLAKOS INC,01671P10,1564824.0
FOLD,Amicus Therapeutics Inc. Common Stock,Healthcare,03152W109,AMICUS THERAPEUTICS INC,03152W10,1023024.0
VIR,Vir Biotechnology Inc. Common Stock,Healthcare,92764N102,VIR BIOTECHNOLOGY INC,92764N10,1706431.0
SDC,SmileDirectClub Inc. Class A Common Stock,Healthcare,83192H106,SMILEDIRECTCLUB INC,83192H10,1775625.0
CBPO,China Biologic Products Holdings Inc. Ordinary Shares,Healthcare,G21515104,CHINA BIOLOGIC PRODS HLDGS I,G2151510,1369868.0
EVTCY,Evotec SE ADR,Healthcare,,,nan,
HCM,Hutchison China MediTech Limited American Depositary Shares,Healthcare,44842L103,HUTCHISON CHINA MEDITECH LTD,44842L10,1648257.0
TPTX,Turning Point Therapeutics Inc. Common Stock,Healthcare,90041T108,TURNING POINT THERAPEUTICS I,90041T10,1761612.0
KOD,Kodiak Sciences Inc Common Stock,Healthcare,50015M109,KODIAK SCIENCES INC,50015M10,1468748.0
NVST,Envista Holdings Corporation Common Stock,Healthcare,29415F104,ENVISTA HOLDINGS CORPORATION,29415F10,1757073.0
HALO,Halozyme Therapeutics Inc. Common Stock,Healthcare,40637H109,HALOZYME THERAPEUTICS INC,40637H10,1159036.0
FATE,Fate Therapeutics Inc. Common Stock,Healthcare,31189P102,FATE THERAPEUTICS INC,31189P10,1434316.0
ARHCF,Alfresa Holdings Corp,Healthcare,,,nan,
PINC,Premier Inc. Class A Common Stock,Healthcare,,,nan,
MEPDF,Medipal Holdings Corporation,Healthcare,,,nan,
CCXI,ChemoCentryx Inc. Common Stock,Healthcare,16383L106,CHEMOCENTRYX INC,16383L10,1340652.0
ICUI,ICU Medical Inc. Common Stock,Healthcare,44930G107,ICU MED INC,44930G10,1230765.0
ONEM,1Life Healthcare Inc. Common Stock,Healthcare,68269G107,1LIFE HEALTHCARE INC,68269G10,
IART,Integra LifeSciences Holdings Corporation Common Stock,Healthcare,457985208,INTEGRA LIFESCIENCES HLDGS C,45798520,917520.0
RGEDF,Chemical Works of Gedeon Richter Plc.,Healthcare,,,nan,
WMGI,Wright Medical Group N.V. Ordinary Shares,Healthcare,N96617118,WRIGHT MED GROUP N V,N9661711,1492658.0
TWST,Twist Bioscience Corporation Common Stock,Healthcare,90184D100,TWIST BIOSCIENCE CORP,90184D10,1581280.0
RETA,Reata Pharmaceuticals Inc. Class A Common Stock,Healthcare,75615P103,REATA PHARMACEUTICALS INC,75615P10,1358762.0
INSM,Insmed Inc. Common Stock,Healthcare,457669307,INSMED INC,45766930,1104506.0
FGEN,FibroGen Inc Common Stock,Healthcare,31572Q808,FIBROGEN INC,31572Q80,921299.0
NEOG,Neogen Corporation Common Stock,Healthcare,640491106,NEOGEN CORP,64049110,711377.0
RHCGF,Ryman Healthcare,Healthcare,78377T107,RYMAN HOSPITALITY PPTYS INC,78377T10,1040829.0
BLUE,bluebird bio Inc. Common Stock,Healthcare,09609G100,BLUEBIRD BIO INC,09609G10,1293971.0
SAGE,Sage Therapeutics Inc. Common Stock,Healthcare,78667J108,SAGE THERAPEUTICS INC,78667J10,1597553.0
TRSBF,3SBIO Inc,Healthcare,,,nan,
TGTX,TG Therapeutics Inc. Common Stock,Healthcare,88322Q108,TG THERAPEUTICS INC,88322Q10,1001316.0
DCPH,Deciphera Pharmaceuticals Inc. Common Stock,Healthcare,24344T101,DECIPHERA PHARMACEUTICALS IN,24344T10,1654151.0
RLAY,Relay Therapeutics Inc. Common Stock,Healthcare,,,nan,
LEGN,Legend Biotech Corporation American Depositary Shares,Healthcare,52490G102,LEGEND BIOTECH CORP,52490G10,
PTCT,PTC Therapeutics Inc. Common Stock,Healthcare,69366J200,PTC THERAPEUTICS INC,69366J20,1070081.0
LVZPF,Livzon Pharmaceutical Group Inc. - Class H,Healthcare,,,nan,
GBT,Global Blood Therapeutics Inc. Common Stock,Healthcare,37890U108,GLOBAL BLOOD THERAPEUTICS IN,37890U10,1629137.0
STAA,STAAR Surgical Company Common Stock,Healthcare,852312305,STAAR SURGICAL CO,85231230,1422427.0
HTSUF,Hisamitsu Pharmaceutical Co Ltd,Healthcare,,,nan,
MOR,MorphoSys AG American Depositary Shares,Healthcare,617760202,MORPHOSYS AG,61776020,
APNHF,Aspen Pharmacare Holdings Ltd,Healthcare,,,nan,
INSP,Inspire Medical Systems Inc. Common Stock,Healthcare,457730109,INSPIRE MED SYS INC,45773010,1609550.0
ENSG,The Ensign Group Inc. Common Stock,Healthcare,,,nan,
NKTR,Nektar Therapeutics  Common Stock,Healthcare,640268108,NEKTAR THERAPEUTICS,64026810,19411.0
GWPRF,GW Pharmaceuticals,Healthcare,36197T103,GW PHARMACEUTICALS PLC,36197T10,1351288.0
SEM,Select Medical Holdings Corporation Common Stock,Healthcare,,,nan,
THC,Tenet Healthcare Corporation Common Stock,Healthcare,88033G407,TENET HEALTHCARE CORP,88033G40,70318.0
NARI,Inari Medical Inc. Common Stock,Healthcare,45332Y109,INARI MED INC,45332Y10,
GWPH,GW Pharmaceuticals Plc American Depositary Shares,Healthcare,36197T103,GW PHARMACEUTICALS PLC,36197T10,1351288.0
GNNSF,Genscript Biotech Corporation - Class H,Healthcare,,,nan,
APNHY,Aspen Pharmacare Holdings Ltd ADR,Healthcare,,,nan,
ACHC,Acadia Healthcare Company Inc. Common Stock,Healthcare,00404A109,ACADIA HEALTHCARE COMPANY IN,00404A10,1520697.0
SZUKF,SZUKF,Healthcare,,,nan,
OSSFF,Ossur hf.,Healthcare,,,nan,
OPK,OPKO Health Inc. Common Stock,Healthcare,68375N103,OPKO HEALTH INC,68375N10,944809.0
IMAB,I-MAB American Depositary Shares,Healthcare,,,nan,
BNR,Burning Rock Biotech Limited American Depositary Shares,Healthcare,12233L107,BURNING ROCK BIOTECH LTD,12233L10,
SWTX,SpringWorks Therapeutics Inc. Common Stock,Healthcare,85205L107,SPRINGWORKS THERAPEUTICS INC,85205L10,1773427.0
AKBLF,ALK-Abello AS - Class B,Healthcare,,,nan,
PHMMF,Pharmamar S.A.,Healthcare,,,nan,
EIDX,Eidos Therapeutics Inc. Common Stock,Healthcare,28249H104,EIDOS THERAPEUTICS INC,28249H10,1731831.0
AATP,Agape ATP Corp,Healthcare,,,nan,
MCRB,Seres Therapeutics Inc. Common Stock,Healthcare,81750R102,SERES THERAPEUTICS INC,81750R10,1609809.0
RVMD,Revolution Medicines Inc. Common Stock,Healthcare,76155X100,REVOLUTION MEDICINES INC,76155X10,1628171.0
NKNIF,NKNIF,Healthcare,,,nan,
NUVA,NuVasive Inc. Common Stock,Healthcare,670704105,NUVASIVE INC,67070410,1142596.0
CHSYF,China Medical System Hldgs Ltd,Healthcare,,,nan,
